"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0,66;1,15506715507;0,842490842491
0,664;1,1746031746;0,827838827839
0,668;1,19413919414;0,813186813187
0,672;1,20879120879;0,798534798535
0,676;1,22344322344;0,783882783883
0,68;1,23321123321;0,764346764347
0,684;1,24297924298;0,739926739927
0,688;1,24786324786;0,725274725275
0,692;1,25763125763;0,705738705739
0,696;1,2673992674;0,691086691087
0,7;1,27228327228;0,661782661783
0,704;1,27228327228;0,642246642247
0,708;1,27228327228;0,617826617827
0,712;1,27228327228;0,593406593407
0,716;1,26251526252;0,559218559219
0,72;1,25274725275;0,534798534799
0,724;1,24297924298;0,505494505495
0,728;1,2380952381;0,485958485958
0,732;1,22344322344;0,45177045177
0,736;1,21367521368;0,422466422466
0,74;1,19413919414;0,393162393162
0,744;1,1746031746;0,358974358974
0,748;1,16483516484;0,32967032967
0,752;1,1452991453;0,295482295482
0,756;1,12087912088;0,266178266178
0,76;1,10134310134;0,236874236874
0,764;1,07692307692;0,202686202686
0,768;1,04761904762;0,168498168498
0,772;1,01831501832;0,13431013431
0,776;0,993894993895;0,100122100122
0,78;0,959706959707;0,0708180708181
0,784;0,925518925519;0,03663003663
0,788;0,896214896215;-0,002442002442
0,792;0,857142857143;-0,031746031746
0,796;0,827838827839;-0,0610500610501
0,8;0,793650793651;-0,100122100122
0,804;0,749694749695;-0,13431013431
0,808;0,710622710623;-0,163614163614
0,812;0,676434676435;-0,192918192918
0,816;0,632478632479;-0,227106227106
0,82;0,598290598291;-0,25641025641
0,824;0,549450549451;-0,290598290598
0,828;0,500610500611;-0,324786324786
0,832;0,461538461538;-0,349206349206
0,836;0,417582417582;-0,37851037851
0,84;0,373626373626;-0,407814407814
0,844;0,324786324786;-0,442002442002
0,848;0,28083028083;-0,471306471306
0,852;0,236874236874;-0,495726495726
0,856;0,197802197802;-0,515262515263
0,86;0,148962148962;-0,544566544567
0,864;0,0952380952381;-0,573870573871
0,868;0,046398046398;-0,593406593407
0,872;0,002442002442;-0,612942612943
0,876;-0,03663003663;-0,632478632479
0,88;-0,0903540903541;-0,661782661783
0,884;-0,13431013431;-0,686202686203
0,888;-0,188034188034;-0,700854700855
0,892;-0,227106227106;-0,720390720391
0,896;-0,275946275946;-0,739926739927
0,9;-0,315018315018;-0,754578754579
0,904;-0,368742368742;-0,774114774115
0,908;-0,407814407814;-0,783882783883
0,912;-0,45177045177;-0,798534798535
0,916;-0,495726495726;-0,808302808303
0,92;-0,544566544567;-0,827838827839
0,924;-0,583638583639;-0,832722832723
0,928;-0,622710622711;-0,842490842491
0,932;-0,661782661783;-0,847374847375
0,936;-0,710622710623;-0,857142857143
0,94;-0,749694749695;-0,866910866911
0,944;-0,783882783883;-0,866910866911
0,948;-0,818070818071;-0,866910866911
0,952;-0,847374847375;-0,871794871795
0,956;-0,886446886447;-0,876678876679
0,96;-0,925518925519;-0,871794871795
0,964;-0,959706959707;-0,871794871795
0,968;-0,984126984127;-0,866910866911
0,972;-1,01343101343;-0,866910866911
0,976;-1,04761904762;-0,862026862027
0,98;-1,07203907204;-0,852258852259
0,984;-1,09157509158;-0,842490842491
0,988;-1,115995116;-0,832722832723
0,992;-1,14041514042;-0,822954822955
0,996;-1,15995115995;-0,813186813187
1;-1,1746031746;-0,793650793651
1,004;-1,19413919414;-0,778998778999
1,008;-1,20879120879;-0,759462759463
1,012;-1,21855921856;-0,749694749695
1,016;-1,22832722833;-0,735042735043
1,02;-1,2380952381;-0,710622710623
1,024;-1,24297924298;-0,691086691087
1,028;-1,24786324786;-0,671550671551
1,032;-1,25763125763;-0,652014652015
1,036;-1,26251526252;-0,627594627595
1,04;-1,26251526252;-0,608058608059
1,044;-1,25763125763;-0,578754578755
1,048;-1,25274725275;-0,554334554335
1,052;-1,25274725275;-0,529914529915
1,056;-1,24786324786;-0,505494505495
1,06;-1,2380952381;-0,47619047619
1,064;-1,22832722833;-0,446886446886
1,068;-1,21855921856;-0,417582417582
1,072;-1,20879120879;-0,393162393162
1,076;-1,19413919414;-0,358974358974
1,08;-1,1746031746;-0,334554334554
1,084;-1,15506715507;-0,295482295482
1,088;-1,13064713065;-0,266178266178
1,092;-1,11111111111;-0,236874236874
1,096;-1,09157509158;-0,202686202686
1,1;-1,06227106227;-0,168498168498
1,104;-1,03785103785;-0,13431013431
1,108;-1,00366300366;-0,100122100122
1,112;-0,974358974359;-0,0659340659341
1,116;-0,945054945055;-0,031746031746
1,12;-0,910866910867;-0,002442002442
1,124;-0,876678876679;0,03663003663
1,128;-0,837606837607;0,0708180708181
1,132;-0,803418803419;0,100122100122
1,136;-0,764346764347;0,139194139194
1,14;-0,720390720391;0,168498168498
1,144;-0,681318681319;0,20757020757
1,148;-0,642246642247;0,236874236874
1,152;-0,603174603175;0,271062271062
1,156;-0,559218559219;0,30525030525
1,16;-0,510378510379;0,334554334554
1,164;-0,471306471306;0,368742368742
1,168;-0,422466422466;0,398046398046
1,172;-0,37851037851;0,42735042735
1,176;-0,334554334554;0,461538461538
1,18;-0,285714285714;0,490842490842
1,184;-0,236874236874;0,510378510379
1,188;-0,188034188034;0,539682539683
1,192;-0,144078144078;0,568986568987
1,196;-0,0952380952381;0,598290598291
1,2;-0,046398046398;0,617826617827
1,204;-0,002442002442;0,637362637363
1,208;0,041514041514;0,661782661783
1,212;0,0903540903541;0,686202686203
1,216;0,144078144078;0,710622710623
1,22;0,188034188034;0,730158730159
1,224;0,23199023199;0,744810744811
1,228;0,275946275946;0,764346764347
1,232;0,324786324786;0,783882783883
1,236;0,37851037851;0,798534798535
1,24;0,422466422466;0,813186813187
1,244;0,461538461538;0,822954822955
1,248;0,505494505495;0,842490842491
1,252;0,549450549451;0,852258852259
1,256;0,598290598291;0,862026862027
1,26;0,637362637363;0,871794871795
1,264;0,676434676435;0,881562881563
1,268;0,715506715507;0,886446886447
1,272;0,754578754579;0,891330891331
1,276;0,798534798535;0,891330891331
1,28;0,832722832723;0,891330891331
1,284;0,862026862027;0,901098901099
1,288;0,901098901099;0,901098901099
1,292;0,930402930403;0,891330891331
1,296;0,964590964591;0,891330891331
1,3;0,989010989011;0,886446886447
1,304;1,0231990232;0,886446886447
1,308;1,0525030525;0,881562881563
1,312;1,08180708181;0,866910866911
1,316;1,09645909646;0,857142857143
1,32;1,12087912088;0,852258852259
1,324;1,14041514042;0,847374847375
1,328;1,16483516484;0,827838827839
1,332;1,18437118437;0,818070818071
1,336;1,19902319902;0,798534798535
1,34;1,20879120879;0,783882783883
1,344;1,22832722833;0,769230769231
1,348;1,2380952381;0,754578754579
1,352;1,24786324786;0,730158730159
1,356;1,25274725275;0,705738705739
1,36;1,26251526252;0,695970695971
1,364;1,2673992674;0,671550671551
1,368;1,27228327228;0,652014652015
1,372;1,27228327228;0,622710622711
1,376;1,2673992674;0,593406593407
1,38;1,26251526252;0,573870573871
1,384;1,25274725275;0,549450549451
1,388;1,24786324786;0,520146520147
1,392;1,24297924298;0,485958485958
1,396;1,22832722833;0,461538461538
1,4;1,21367521368;0,432234432234
1,404;1,20390720391;0,40293040293
1,408;1,18437118437;0,373626373626
1,412;1,16971916972;0,339438339438
1,416;1,15018315018;0,310134310134
1,42;1,13064713065;0,28083028083
1,424;1,11111111111;0,246642246642
1,428;1,08669108669;0,217338217338
1,432;1,05738705739;0,18315018315
1,436;1,02808302808;0,148962148962
1,44;1,00366300366;0,114774114774
1,444;0,974358974359;0,0854700854701
1,448;0,945054945055;0,0512820512821
1,452;0,910866910867;0,01221001221
1,456;0,876678876679;-0,017094017094
1,46;0,842490842491;-0,0512820512821
1,464;0,808302808303;-0,0757020757021
1,468;0,774114774115;-0,114774114774
1,472;0,730158730159;-0,148962148962
1,476;0,686202686203;-0,18315018315
1,48;0,647130647131;-0,212454212454
1,484;0,612942612943;-0,241758241758
1,488;0,568986568987;-0,275946275946
1,492;0,520146520147;-0,310134310134
1,496;0,481074481074;-0,339438339438
1,5;0,437118437118;-0,363858363858
1,504;0,393162393162;-0,398046398046
1,508;0,344322344322;-0,42735042735
1,512;0,300366300366;-0,456654456654
1,516;0,25641025641;-0,481074481074
1,52;0,20757020757;-0,505494505495
1,524;0,163614163614;-0,534798534799
1,528;0,114774114774;-0,564102564103
1,532;0,0708180708181;-0,583638583639
1,536;0,021978021978;-0,603174603175
1,54;-0,021978021978;-0,632478632479
1,544;-0,0659340659341;-0,656898656899
1,548;-0,119658119658;-0,676434676435
1,552;-0,163614163614;-0,695970695971
1,556;-0,20757020757;-0,715506715507
1,56;-0,25641025641;-0,735042735043
1,564;-0,300366300366;-0,754578754579
1,568;-0,35409035409;-0,769230769231
1,572;-0,393162393162;-0,778998778999
1,576;-0,432234432234;-0,788766788767
1,58;-0,47619047619;-0,808302808303
1,584;-0,525030525031;-0,822954822955
1,588;-0,573870573871;-0,827838827839
1,592;-0,612942612943;-0,837606837607
1,596;-0,647130647131;-0,847374847375
1,6;-0,691086691087;-0,852258852259
1,604;-0,735042735043;-0,866910866911
1,608;-0,769230769231;-0,866910866911
1,612;-0,808302808303;-0,866910866911
1,616;-0,837606837607;-0,876678876679
1,62;-0,876678876679;-0,876678876679
1,624;-0,915750915751;-0,876678876679
1,628;-0,945054945055;-0,871794871795
1,632;-0,974358974359;-0,866910866911
1,636;-1,00366300366;-0,866910866911
1,64;-1,03785103785;-0,866910866911
1,644;-1,06227106227;-0,857142857143
1,648;-1,09157509158;-0,847374847375
1,652;-1,11111111111;-0,832722832723
1,656;-1,13064713065;-0,827838827839
1,66;-1,15506715507;-0,818070818071
1,664;-1,1746031746;-0,808302808303
1,668;-1,18925518926;-0,788766788767
1,672;-1,19902319902;-0,764346764347
1,676;-1,21367521368;-0,749694749695
1,68;-1,22344322344;-0,739926739927
1,684;-1,2380952381;-0,720390720391
1,688;-1,24297924298;-0,700854700855
1,692;-1,25274725275;-0,676434676435
1,696;-1,25274725275;-0,652014652015
1,7;-1,25763125763;-0,637362637363
1,704;-1,26251526252;-0,608058608059
1,708;-1,25763125763;-0,588522588523
1,712;-1,25763125763;-0,559218559219
1,716;-1,25274725275;-0,539682539683
1,72;-1,24786324786;-0,515262515263
1,724;-1,24297924298;-0,481074481074
1,728;-1,23321123321;-0,456654456654
1,732;-1,21855921856;-0,42735042735
1,736;-1,20879120879;-0,398046398046
1,74;-1,19902319902;-0,368742368742
1,744;-1,17948717949;-0,339438339438
1,748;-1,15995115995;-0,30525030525
1,752;-1,14041514042;-0,28083028083
1,756;-1,12087912088;-0,251526251526
1,76;-1,09645909646;-0,212454212454
1,764;-1,07203907204;-0,178266178266
1,768;-1,04273504274;-0,144078144078
1,772;-1,01831501832;-0,10989010989
1,776;-0,989010989011;-0,0805860805861
1,78;-0,954822954823;-0,046398046398
1,784;-0,920634920635;-0,00732600732601
1,788;-0,886446886447;0,021978021978
1,792;-0,852258852259;0,0512820512821
1,796;-0,822954822955;0,0903540903541
1,8;-0,783882783883;0,124542124542
1,804;-0,739926739927;0,15873015873
1,808;-0,700854700855;0,188034188034
1,812;-0,661782661783;0,222222222222
1,816;-0,617826617827;0,25641025641
1,82;-0,573870573871;0,290598290598
1,824;-0,534798534799;0,319902319902
1,828;-0,485958485958;0,349206349206
1,832;-0,446886446886;0,37851037851
1,836;-0,40293040293;0,412698412698
1,84;-0,35409035409;0,437118437118
1,844;-0,310134310134;0,471306471306
1,848;-0,261294261294;0,500610500611
1,852;-0,217338217338;0,525030525031
1,856;-0,168498168498;0,554334554335
1,86;-0,114774114774;0,578754578755
1,864;-0,0757020757021;0,608058608059
1,868;-0,021978021978;0,627594627595
1,872;0,021978021978;0,652014652015
1,876;0,0659340659341;0,671550671551
1,88;0,114774114774;0,695970695971
1,884;0,15873015873;0,720390720391
1,888;0,212454212454;0,739926739927
1,892;0,25641025641;0,754578754579
1,896;0,300366300366;0,769230769231
1,9;0,349206349206;0,783882783883
1,904;0,393162393162;0,808302808303
1,908;0,442002442002;0,818070818071
1,912;0,485958485958;0,832722832723
1,916;0,525030525031;0,842490842491
1,92;0,568986568987;0,852258852259
1,924;0,617826617827;0,871794871795
1,928;0,661782661783;0,871794871795
1,932;0,700854700855;0,881562881563
1,936;0,735042735043;0,891330891331
1,94;0,778998778999;0,891330891331
1,944;0,813186813187;0,896214896215
1,948;0,852258852259;0,901098901099
1,952;0,881562881563;0,896214896215
1,956;0,915750915751;0,901098901099
1,96;0,949938949939;0,901098901099
1,964;0,984126984127;0,896214896215
1,968;1,00854700855;0,886446886447
1,972;1,03785103785;0,881562881563
1,976;1,06715506716;0,881562881563
1,98;1,09645909646;0,866910866911
1,984;1,115995116;0,857142857143
1,988;1,13553113553;0,847374847375
1,992;1,15506715507;0,832722832723
1,996;1,1746031746;0,822954822955
2;1,19413919414;0,813186813187
2,004;1,20879120879;0,793650793651
2,008;1,22344322344;0,778998778999
2,012;1,23321123321;0,764346764347
2,016;1,25274725275;0,749694749695
2,02;1,25274725275;0,725274725275
2,024;1,26251526252;0,700854700855
2,028;1,26251526252;0,681318681319
2,032;1,2673992674;0,661782661783
2,036;1,27716727717;0,637362637363
2,04;1,2673992674;0,608058608059
2,044;1,26251526252;0,583638583639
2,048;1,25763125763;0,554334554335
2,052;1,25274725275;0,534798534799
2,056;1,24297924298;0,500610500611
2,06;1,23321123321;0,471306471306
2,064;1,21855921856;0,442002442002
2,068;1,20390720391;0,417582417582
2,072;1,19413919414;0,388278388278
2,076;1,17948717949;0,35409035409
2,08;1,15506715507;0,319902319902
2,084;1,13553113553;0,290598290598
2,088;1,115995116;0,261294261294
2,092;1,09645909646;0,23199023199
2,096;1,06715506716;0,197802197802
2,1;1,04761904762;0,163614163614
2,104;1,01343101343;0,129426129426
2,108;0,984126984127;0,100122100122
2,112;0,954822954823;0,0610500610501
2,116;0,920634920635;0,031746031746
2,12;0,891330891331;-0,002442002442
2,124;0,852258852259;-0,03663003663
2,128;0,818070818071;-0,0708180708181
2,132;0,783882783883;-0,105006105006
2,136;0,744810744811;-0,13431013431
2,14;0,705738705739;-0,168498168498
2,144;0,671550671551;-0,202686202686
2,148;0,622710622711;-0,23199023199
2,152;0,583638583639;-0,261294261294
2,156;0,544566544567;-0,290598290598
2,16;0,500610500611;-0,324786324786
2,164;0,45177045177;-0,358974358974
2,168;0,407814407814;-0,388278388278
2,172;0,368742368742;-0,412698412698
2,176;0,324786324786;-0,442002442002
2,18;0,275946275946;-0,471306471306
2,184;0,227106227106;-0,495726495726
2,188;0,18315018315;-0,520146520147
2,192;0,144078144078;-0,544566544567
2,196;0,0952380952381;-0,578754578755
2,2;0,046398046398;-0,598290598291
2,204;-0,002442002442;-0,617826617827
2,208;-0,046398046398;-0,642246642247
2,212;-0,0952380952381;-0,656898656899
2,216;-0,139194139194;-0,686202686203
2,22;-0,18315018315;-0,705738705739
2,224;-0,236874236874;-0,720390720391
2,228;-0,28083028083;-0,739926739927
2,232;-0,324786324786;-0,749694749695
2,236;-0,368742368742;-0,769230769231
2,24;-0,417582417582;-0,788766788767
2,244;-0,461538461538;-0,798534798535
2,248;-0,505494505495;-0,808302808303
