"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;0,13431013431;0,349206349206
0,004;0,412698412698;0,608058608059
0,008;0,681318681319;0,842490842491
0,012;0,901098901099;1,03296703297
0,016;1,07692307692;1,16483516484
0,02;1,19902319902;1,2380952381
0,024;1,26251526252;1,25274725275
0,028;1,24786324786;1,19413919414
0,032;1,17948717949;1,07692307692
0,036;1,04273504274;0,896214896215
0,04;0,842490842491;0,666666666667
0,044;0,608058608059;0,407814407814
0,048;0,339438339438;0,129426129426
0,052;0,0561660561661;-0,153846153846
0,056;-0,227106227106;-0,422466422466
0,06;-0,505494505495;-0,681318681319
0,064;-0,764346764347;-0,905982905983
0,068;-0,969474969475;-1,07692307692
0,072;-1,13553113553;-1,19413919414
0,076;-1,22344322344;-1,2380952381
0,08;-1,26251526252;-1,21367521368
0,084;-1,22344322344;-1,13064713065
0,088;-1,12576312576;-0,989010989011
0,092;-0,954822954823;-0,793650793651
0,096;-0,749694749695;-0,549450549451
0,1;-0,485958485958;-0,28083028083
0,104;-0,20757020757;0,01221001221
0,108;0,0805860805861;0,290598290598
0,112;0,363858363858;0,559218559219
0,116;0,627594627595;0,793650793651
0,12;0,857142857143;0,998778998779
0,124;1,0525030525;1,1452991453
0,128;1,18437118437;1,23321123321
0,132;1,26251526252;1,26251526252
0,136;1,2673992674;1,21367521368
0,14;1,19902319902;1,09645909646
0,144;1,06715506716;0,925518925519
0,148;0,886446886447;0,715506715507
0,152;0,661782661783;0,466422466422
0,156;0,398046398046;0,192918192918
0,16;0,10989010989;-0,0952380952381
0,164;-0,173382173382;-0,373626373626
0,168;-0,456654456654;-0,642246642247
0,172;-0,715506715507;-0,862026862027
0,176;-0,930402930403;-1,04273504274
0,18;-1,10622710623;-1,1746031746
0,184;-1,20879120879;-1,23321123321
0,188;-1,25274725275;-1,21855921856
0,192;-1,23321123321;-1,15995115995
0,196;-1,15018315018;-1,02808302808
0,2;-0,989010989011;-0,827838827839
0,204;-0,788766788767;-0,593406593407
0,208;-0,534798534799;-0,324786324786
0,212;-0,261294261294;-0,046398046398
0,216;0,021978021978;0,236874236874
0,22;0,30525030525;0,510378510379
0,224;0,578754578755;0,759462759463
0,228;0,822954822955;0,969474969475
0,232;1,0231990232;1,12576312576
0,236;1,16971916972;1,21855921856
0,24;1,24786324786;1,25763125763
0,244;1,27228327228;1,22344322344
0,248;1,21855921856;1,12576312576
0,252;1,10134310134;0,969474969475
0,256;0,930402930403;0,759462759463
0,26;0,705738705739;0,505494505495
0,264;0,442002442002;0,236874236874
0,268;0,163614163614;-0,046398046398
0,272;-0,119658119658;-0,319902319902
0,276;-0,398046398046;-0,593406593407
0,28;-0,661782661783;-0,827838827839
0,284;-0,901098901099;-1,01831501832
0,288;-1,08180708181;-1,15506715507
0,292;-1,19413919414;-1,22344322344
0,296;-1,24786324786;-1,23321123321
0,3;-1,24297924298;-1,1746031746
0,304;-1,16971916972;-1,0525030525
0,308;-1,02808302808;-0,871794871795
0,312;-0,827838827839;-0,647130647131
0,316;-0,588522588523;-0,37851037851
0,32;-0,319902319902;-0,100122100122
0,324;-0,03663003663;0,18315018315
0,328;0,251526251526;0,456654456654
0,332;0,529914529915;0,710622710623
0,336;0,778998778999;0,925518925519
0,34;0,984126984127;1,09645909646
0,344;1,14041514042;1,20390720391
0,348;1,23321123321;1,24786324786
0,352;1,27228327228;1,23321123321
0,356;1,22832722833;1,15018315018
0,36;1,13064713065;1,00366300366
0,364;0,964590964591;0,803418803419
0,368;0,749694749695;0,559218559219
0,372;0,490842490842;0,290598290598
0,376;0,222222222222;0,00732600732601
0,38;-0,0708180708181;-0,271062271062
0,384;-0,344322344322;-0,539682539683
0,388;-0,612942612943;-0,783882783883
0,392;-0,862026862027;-0,979242979243
0,396;-1,04761904762;-1,13553113553
0,4;-1,1746031746;-1,21367521368
0,404;-1,24297924298;-1,23321123321
0,408;-1,24297924298;-1,18437118437
0,412;-1,18437118437;-1,07692307692
0,416;-1,06227106227;-0,910866910867
0,42;-0,866910866911;-0,691086691087
0,424;-0,632478632479;-0,42735042735
0,428;-0,363858363858;-0,153846153846
0,432;-0,0805860805861;0,129426129426
0,436;0,197802197802;0,412698412698
0,44;0,481074481074;0,666666666667
0,444;0,735042735043;0,891330891331
0,448;0,959706959707;1,07203907204
0,452;1,115995116;1,18925518926
0,456;1,22344322344;1,24297924298
0,46;1,27228327228;1,24786324786
0,464;1,24297924298;1,16971916972
0,468;1,15506715507;1,03785103785
0,472;0,998778998779;0,847374847375
0,476;0,798534798535;0,608058608059
0,48;0,549450549451;0,344322344322
0,484;0,275946275946;0,0659340659341
0,488;-0,00732600732601;-0,217338217338
0,492;-0,295482295482;-0,485958485958
0,496;-0,568986568987;-0,739926739927
0,5;-0,813186813187;-0,949938949939
0,504;-1,01343101343;-1,11111111111
0,508;-1,15018315018;-1,20390720391
0,512;-1,2380952381;-1,2380952381
0,516;-1,25274725275;-1,20390720391
0,52;-1,20390720391;-1,10622710623
0,524;-1,09157509158;-0,945054945055
0,528;-0,910866910867;-0,735042735043
0,532;-0,681318681319;-0,485958485958
0,536;-0,422466422466;-0,212454212454
0,54;-0,139194139194;0,0757020757021
0,544;0,148962148962;0,358974358974
0,548;0,432234432234;0,617826617827
0,552;0,691086691087;0,857142857143
0,556;0,915750915751;1,03785103785
0,56;1,08669108669;1,16971916972
0,564;1,20390720391;1,24297924298
0,568;1,2673992674;1,25274725275
0,572;1,25274725275;1,18925518926
0,576;1,1746031746;1,06227106227
0,58;1,02808302808;0,876678876679
0,584;0,832722832723;0,656898656899
0,588;0,598290598291;0,398046398046
0,592;0,32967032967;0,119658119658
0,596;0,041514041514;-0,168498168498
0,6;-0,241758241758;-0,442002442002
0,604;-0,520146520147;-0,700854700855
0,608;-0,774114774115;-0,915750915751
0,612;-0,979242979243;-1,08180708181
0,616;-1,14041514042;-1,19413919414
0,62;-1,22832722833;-1,23321123321
0,624;-1,25274725275;-1,20879120879
0,628;-1,21855921856;-1,13553113553
0,632;-1,12087912088;-0,984126984127
0,636;-0,945054945055;-0,778998778999
0,64;-0,725274725275;-0,529914529915
0,644;-0,471306471306;-0,261294261294
0,648;-0,192918192918;0,021978021978
0,652;0,0903540903541;0,30525030525
0,656;0,37851037851;0,573870573871
0,66;0,647130647131;0,813186813187
0,664;0,881562881563;1,00854700855
0,668;1,05738705739;1,1452991453
0,672;1,18925518926;1,2380952381
0,676;1,26251526252;1,25763125763
0,68;1,2673992674;1,20879120879
0,684;1,19413919414;1,09157509158
0,688;1,06227106227;0,915750915751
0,692;0,876678876679;0,705738705739
0,696;0,647130647131;0,45177045177
0,7;0,383394383394;0,168498168498
0,704;0,100122100122;-0,114774114774
0,708;-0,192918192918;-0,388278388278
0,712;-0,466422466422;-0,652014652015
0,716;-0,720390720391;-0,871794871795
0,72;-0,940170940171;-1,05738705739
0,724;-1,10622710623;-1,18437118437
0,728;-1,21855921856;-1,23321123321
0,732;-1,25274725275;-1,21855921856
0,736;-1,22832722833;-1,1452991453
0,74;-1,13553113553;-1,01343101343
0,744;-0,974358974359;-0,818070818071
0,748;-0,774114774115;-0,583638583639
0,752;-0,525030525031;-0,310134310134
0,756;-0,241758241758;-0,026862026862
0,76;0,041514041514;0,25641025641
0,764;0,324786324786;0,525030525031
0,768;0,593406593407;0,769230769231
0,772;0,832722832723;0,974358974359
0,776;1,02808302808;1,13064713065
0,78;1,16971916972;1,22344322344
0,784;1,24786324786;1,25274725275
0,788;1,2673992674;1,21855921856
0,792;1,20879120879;1,11111111111
0,796;1,09157509158;0,959706959707
0,8;0,915750915751;0,749694749695
0,804;0,695970695971;0,495726495726
0,808;0,432234432234;0,217338217338
0,812;0,148962148962;-0,0610500610501
0,816;-0,13431013431;-0,339438339438
0,82;-0,417582417582;-0,603174603175
0,824;-0,681318681319;-0,832722832723
0,828;-0,910866910867;-1,02808302808
0,832;-1,08669108669;-1,15995115995
0,836;-1,19902319902;-1,22832722833
0,84;-1,25274725275;-1,22344322344
0,844;-1,2380952381;-1,16971916972
0,848;-1,16483516484;-1,04761904762
0,852;-1,0231990232;-0,866910866911
0,856;-0,818070818071;-0,627594627595
0,86;-0,573870573871;-0,363858363858
0,864;-0,300366300366;-0,0854700854701
0,868;-0,017094017094;0,192918192918
0,872;0,271062271062;0,471306471306
0,876;0,549450549451;0,725274725275
0,88;0,788766788767;0,940170940171
0,884;0,998778998779;1,10622710623
0,888;1,15018315018;1,20390720391
0,892;1,24297924298;1,25274725275
0,896;1,2673992674;1,23321123321
0,9;1,22832722833;1,14041514042
0,904;1,12087912088;0,998778998779
0,908;0,959706959707;0,798534798535
0,912;0,739926739927;0,549450549451
0,916;0,485958485958;0,275946275946
0,92;0,202686202686;-0,00732600732601
0,924;-0,0805860805861;-0,285714285714
0,928;-0,363858363858;-0,549450549451
0,932;-0,627594627595;-0,788766788767
0,936;-0,866910866911;-0,993894993895
0,94;-1,05738705739;-1,1452991453
0,944;-1,18437118437;-1,21855921856
0,948;-1,24297924298;-1,23321123321
0,952;-1,24297924298;-1,17948717949
0,956;-1,1746031746;-1,07203907204
0,96;-1,04761904762;-0,905982905983
0,964;-0,857142857143;-0,681318681319
0,968;-0,622710622711;-0,422466422466
0,972;-0,35409035409;-0,139194139194
0,976;-0,0708180708181;0,148962148962
0,98;0,217338217338;0,422466422466
0,984;0,495726495726;0,676434676435
0,988;0,744810744811;0,896214896215
0,992;0,964590964591;1,07692307692
0,996;1,12087912088;1,19413919414
1;1,22832722833;1,25274725275
1,004;1,27228327228;1,25763125763
1,008;1,24297924298;1,16483516484
1,012;1,1452991453;1,02808302808
1,016;0,989010989011;0,832722832723
1,02;0,778998778999;0,603174603175
1,024;0,534798534799;0,32967032967
1,028;0,261294261294;0,0512820512821
1,032;-0,021978021978;-0,236874236874
1,036;-0,315018315018;-0,505494505495
1,04;-0,583638583639;-0,759462759463
1,044;-0,832722832723;-0,959706959707
1,048;-1,02808302808;-1,12087912088
1,052;-1,16483516484;-1,20879120879
1,056;-1,2380952381;-1,23321123321
1,06;-1,25274725275;-1,19902319902
1,064;-1,19902319902;-1,10134310134
1,068;-1,08180708181;-0,945054945055
1,072;-0,901098901099;-0,725274725275
1,076;-0,666666666667;-0,471306471306
1,08;-0,407814407814;-0,192918192918
1,084;-0,124542124542;0,0952380952381
1,088;0,163614163614;0,373626373626
1,092;0,442002442002;0,627594627595
1,096;0,695970695971;0,862026862027
1,1;0,915750915751;1,04761904762
1,104;1,09645909646;1,1746031746
1,108;1,21367521368;1,24297924298
1,112;1,27228327228;1,25274725275
1,116;1,25274725275;1,17948717949
1,12;1,16483516484;1,0525030525
1,124;1,01831501832;0,866910866911
1,128;0,827838827839;0,647130647131
1,132;0,583638583639;0,383394383394
1,136;0,315018315018;0,105006105006
1,14;0,026862026862;-0,18315018315
1,144;-0,261294261294;-0,461538461538
1,148;-0,534798534799;-0,710622710623
1,152;-0,783882783883;-0,925518925519
1,156;-0,993894993895;-1,08669108669
1,16;-1,14041514042;-1,19902319902
1,164;-1,22832722833;-1,2380952381
1,168;-1,25763125763;-1,21367521368
1,172;-1,21367521368;-1,12087912088
1,176;-1,10622710623;-0,979242979243
1,18;-0,935286935287;-0,764346764347
1,184;-0,715506715507;-0,515262515263
1,188;-0,456654456654;-0,241758241758
1,192;-0,173382173382;0,03663003663
1,196;0,105006105006;0,319902319902
1,2;0,393162393162;0,588522588523
1,204;0,656898656899;0,827838827839
1,208;0,886446886447;1,01831501832
1,212;1,06715506716;1,15995115995
1,216;1,19902319902;1,2380952381
1,22;1,26251526252;1,25763125763
1,224;1,26251526252;1,20390720391
1,228;1,18925518926;1,08669108669
1,232;1,05738705739;0,910866910867
1,236;0,866910866911;0,691086691087
1,24;0,637362637363;0,437118437118
1,244;0,363858363858;0,153846153846
1,248;0,0854700854701;-0,129426129426
1,252;-0,197802197802;-0,40293040293
1,256;-0,481074481074;-0,656898656899
1,26;-0,730158730159;-0,886446886447
1,264;-0,949938949939;-1,06227106227
1,268;-1,12087912088;-1,18925518926
1,272;-1,21855921856;-1,23321123321
1,276;-1,25274725275;-1,21367521368
1,28;-1,22344322344;-1,14041514042
1,284;-1,13064713065;-1,00854700855
1,288;-0,974358974359;-0,813186813187
1,292;-0,764346764347;-0,573870573871
1,296;-0,515262515263;-0,30525030525
1,3;-0,236874236874;-0,01221001221
1,304;0,0512820512821;0,266178266178
1,308;0,339438339438;0,534798534799
1,312;0,603174603175;0,774114774115
1,316;0,842490842491;0,979242979243
1,32;1,03785103785;1,12576312576
1,324;1,17948717949;1,22832722833
1,328;1,25763125763;1,25763125763
1,332;1,2673992674;1,21367521368
1,336;1,20390720391;1,10622710623
1,34;1,08669108669;0,945054945055
1,344;0,905982905983;0,735042735043
1,348;0,681318681319;0,485958485958
1,352;0,422466422466;0,20757020757
1,356;0,13431013431;-0,0757020757021
1,36;-0,153846153846;-0,35409035409
1,364;-0,432234432234;-0,622710622711
1,368;-0,691086691087;-0,842490842491
1,372;-0,910866910867;-1,03296703297
1,376;-1,09645909646;-1,16971916972
1,38;-1,21367521368;-1,2380952381
1,384;-1,25274725275;-1,22832722833
1,388;-1,2380952381;-1,16483516484
1,392;-1,15018315018;-1,03785103785
1,396;-1,01343101343;-0,857142857143
1,4;-0,808302808303;-0,627594627595
1,404;-0,559218559219;-0,349206349206
1,408;-0,290598290598;-0,0708180708181
1,412;0,002442002442;0,212454212454
1,416;0,285714285714;0,485958485958
1,42;0,559218559219;0,739926739927
1,424;0,803418803419;0,945054945055
1,428;1,00854700855;1,11111111111
1,432;1,15995115995;1,21367521368
1,436;1,24297924298;1,25274725275
1,44;1,2673992674;1,22832722833
1,444;1,22344322344;1,1452991453
1,448;1,11111111111;0,984126984127
1,452;0,954822954823;0,783882783883
1,456;0,725274725275;0,529914529915
1,46;0,471306471306;0,261294261294
1,464;0,192918192918;-0,026862026862
1,468;-0,0952380952381;-0,290598290598
1,472;-0,373626373626;-0,564102564103
1,476;-0,642246642247;-0,803418803419
1,48;-0,876678876679;-0,998778998779
1,484;-1,06227106227;-1,1452991453
1,488;-1,18925518926;-1,21855921856
1,492;-1,24297924298;-1,22832722833
1,496;-1,24297924298;-1,17948717949
1,5;-1,1746031746;-1,06715506716
1,504;-1,04273504274;-0,891330891331
1,508;-0,847374847375;-0,661782661783
1,512;-0,603174603175;-0,40293040293
1,516;-0,339438339438;-0,129426129426
1,52;-0,0561660561661;0,15873015873
1,524;0,236874236874;0,437118437118
1,528;0,510378510379;0,691086691087
1,532;0,764346764347;0,910866910867
1,536;0,974358974359;1,08669108669
1,54;1,12576312576;1,19413919414
1,544;1,23321123321;1,25274725275
1,548;1,27228327228;1,24297924298
1,552;1,2380952381;1,15506715507
1,556;1,13553113553;1,00854700855
1,56;0,979242979243;0,818070818071
1,564;0,769230769231;0,583638583639
1,568;0,520146520147;0,319902319902
1,572;0,246642246642;0,03663003663
1,576;-0,041514041514;-0,251526251526
1,58;-0,32967032967;-0,520146520147
1,584;-0,598290598291;-0,764346764347
1,588;-0,837606837607;-0,969474969475
1,592;-1,03296703297;-1,12087912088
1,596;-1,16971916972;-1,21367521368
1,6;-1,24297924298;-1,2380952381
1,604;-1,25274725275;-1,19902319902
1,608;-1,18925518926;-1,09157509158
1,612;-1,07203907204;-0,930402930403
1,616;-0,886446886447;-0,715506715507
1,62;-0,661782661783;-0,456654456654
1,624;-0,398046398046;-0,178266178266
1,628;-0,114774114774;0,100122100122
1,632;0,178266178266;0,383394383394
1,636;0,456654456654;0,647130647131
1,64;0,710622710623;0,871794871795
1,644;0,935286935287;1,0525030525
1,648;1,10134310134;1,17948717949
1,652;1,21367521368;1,24297924298
1,656;1,27228327228;1,24786324786
1,66;1,24297924298;1,1746031746
1,664;1,15995115995;1,04273504274
1,668;1,01343101343;0,862026862027
1,672;0,818070818071;0,632478632479
1,676;0,573870573871;0,368742368742
1,68;0,30525030525;0,0903540903541
1,684;0,017094017094;-0,197802197802
1,688;-0,271062271062;-0,466422466422
1,692;-0,544566544567;-0,715506715507
1,696;-0,793650793651;-0,930402930403
1,7;-0,998778998779;-1,10134310134
1,704;-1,1452991453;-1,20390720391
1,708;-1,23321123321;-1,23321123321
1,712;-1,25274725275;-1,20390720391
1,716;-1,20879120879;-1,11111111111
1,72;-1,09645909646;-0,964590964591
1,724;-0,925518925519;-0,754578754579
1,728;-0,705738705739;-0,505494505495
1,732;-0,446886446886;-0,23199023199
1,736;-0,163614163614;0,0561660561661
1,74;0,124542124542;0,334554334554
1,744;0,407814407814;0,598290598291
1,748;0,666666666667;0,827838827839
1,752;0,896214896215;1,0231990232
1,756;1,08180708181;1,15995115995
1,76;1,20879120879;1,24297924298
1,764;1,2673992674;1,25274725275
1,768;1,25763125763;1,19413919414
1,772;1,18437118437;1,07692307692
1,776;1,04761904762;0,905982905983
1,78;0,862026862027;0,681318681319
1,784;0,622710622711;0,422466422466
1,788;0,35409035409;0,139194139194
1,792;0,0659340659341;-0,144078144078
1,796;-0,217338217338;-0,417582417582
1,8;-0,495726495726;-0,671550671551
1,804;-0,749694749695;-0,901098901099
1,808;-0,964590964591;-1,07203907204
1,812;-1,13064713065;-1,18925518926
1,816;-1,22344322344;-1,23321123321
1,82;-1,25763125763;-1,21367521368
1,824;-1,21855921856;-1,14041514042
1,828;-1,13064713065;-1,00366300366
1,832;-0,964590964591;-0,803418803419
1,836;-0,754578754579;-0,559218559219
1,84;-0,500610500611;-0,285714285714
1,844;-0,217338217338;-0,002442002442
1,848;0,0659340659341;0,275946275946
1,852;0,349206349206;0,549450549451
1,856;0,617826617827;0,788766788767
1,86;0,852258852259;0,993894993895
1,864;1,04273504274;1,14041514042
1,868;1,17948717949;1,22832722833
1,872;1,25763125763;1,25274725275
1,876;1,26251526252;1,20879120879
1,88;1,19902319902;1,10134310134
1,884;1,07692307692;0,935286935287
1,888;0,891330891331;0,725274725275
1,892;0,671550671551;0,47619047619
1,896;0,407814407814;0,197802197802
1,9;0,124542124542;-0,0903540903541
1,904;-0,163614163614;-0,368742368742
1,908;-0,446886446886;-0,627594627595
1,912;-0,705738705739;-0,852258852259
1,916;-0,925518925519;-1,03785103785
1,92;-1,10134310134;-1,16971916972
1,924;-1,20879120879;-1,22832722833
1,928;-1,25763125763;-1,22344322344
1,932;-1,23321123321;-1,15506715507
1,936;-1,15018315018;-1,02808302808
1,94;-0,998778998779;-0,832722832723
1,944;-0,788766788767;-0,603174603175
1,948;-0,549450549451;-0,339438339438
1,952;-0,275946275946;-0,0610500610501
1,956;0,017094017094;0,227106227106
1,96;0,295482295482;0,500610500611
1,964;0,578754578755;0,754578754579
1,968;0,818070818071;0,959706959707
1,972;1,01831501832;1,115995116
1,976;1,15995115995;1,21367521368
1,98;1,24786324786;1,25763125763
1,984;1,27228327228;1,22832722833
1,988;1,22344322344;1,13553113553
1,992;1,10622710623;0,974358974359
1,996;0,935286935287;0,774114774115
2;0,720390720391;0,525030525031
2,004;0,461538461538;0,251526251526
2,008;0,18315018315;-0,031746031746
2,012;-0,105006105006;-0,310134310134
2,016;-0,393162393162;-0,583638583639
2,02;-0,656898656899;-0,818070818071
2,024;-0,886446886447;-1,00854700855
2,028;-1,07203907204;-1,1452991453
2,032;-1,19413919414;-1,22344322344
2,036;-1,24786324786;-1,23321123321
2,04;-1,24297924298;-1,1746031746
2,044;-1,16971916972;-1,0525030525
2,048;-1,03296703297;-0,876678876679
