Vernier Format 2
magneetveld(stroom).cmbl 2/05/2022 09:33:21 ,
Latest
Stroom	Potential 1	Potential 2	Magneetveld
I	Pot 1	Pot 2	B
A	V	V	mT

0	2,33367521368	2,33152625153	-57,851037851
0,3	2,3264957265	2,33821733822	-71,7216117216
0,6	2,31926739927	2,34573870574	-86,4713064713
0,9	2,31135531136	2,35321123321	-101,855921856
1,2	2,30246642247	2,36293040293	-120,463980464
1,5	2,29504273504	2,3704029304	-135,36019536
1,8	2,28673992674	2,37875457875	-152,014652015
2,1	2,27829059829	2,38700854701	-168,717948718
2,4	2,27062271062	2,39550671551	-184,884004884
2,7	2,26246642247	2,40371184371	-201,245421245
