Vernier Format 2
magneetveld(afstand).cmbl 2/05/2022 10:30:24 ,
Latest
Afstand	Potential 1	Potential 2	Magneetveld
d	Pot 1	Pot 2	B
m	V	V	mT

0,06	2,19555555556	2,34183150183	-206,275946276
0,062	2,19545787546	2,33787545788	-202,417582418
0,064	2,19531135531	2,33973137973	-204,42002442
0,066	2,19545787546	2,33606837607	-200,610500611
0,068	2,19555555556	2,33914529915	-203,58974359
0,07	2,1957020757	2,34212454212	-206,422466422
0,072	2,19623931624	2,34139194139	-205,152625153
0,074	2,19682539683	2,34085470085	-204,029304029
0,076	2,19829059829	2,3410989011	-202,808302808
0,078	2,20068376068	2,33894993895	-198,266178266
0,08	2,20644688645	2,32942612943	-182,979242979
0,082	2,2148962149	2,31921855922	-164,322344322
0,084	2,23174603175	2,303003663	-131,257631258
0,086	2,24776556777	2,28752136752	-99,7557997558
0,088	2,26354090354	2,2736996337	-70,1587301587
0,09	2,27594627595	2,26705738706	-51,1111111111
0,092	2,28713064713	2,25875457875	-31,6239316239
0,094	2,29587301587	2,24742368742	-11,5506715507
0,096	2,30271062271	2,24024420024	2,46642246642
0,098	2,30764346764	2,23037851038	17,264957265
0,1	2,31091575092	2,23023199023	20,6837606838
