Vernier Format 2
magneetveld(stroom).cmbl 2/05/2022 10:04:25 ,
Latest
Stroom	Potential 1	Potential 2	Magneetveld
I	Pot 1	Pot 2	B
A	V	V	mT

0	2,32380952381	2,34041514042	-76,6056166056
0,3	2,29719169719	2,36713064713	-129,938949939
0,6	2,25821733822	2,40747252747	-209,255189255
0,9	2,22246642247	2,44483516484	-282,368742369
1,2	2,18495726496	2,48473748474	-359,78021978
1,5	2,14876678877	2,52307692308	-434,31013431
1,8	2,11423687424	2,56078144078	-506,544566545
2,1	2,08024420024	2,59819291819	-577,948717949
2,4	2,04727716728	2,63501831502	-647,741147741
2,7	2,02661782662	2,65860805861	-691,99023199
