Vernier Format 2
magneetveld(stroom).cmbl 2/05/2022 09:47:48 ,
Latest
Stroom	Potential 1	Potential 2	Magneetveld
I	Pot 1	Pot 2	B
A	V	V	mT

0	2,33206349206	2,33230769231	-60,2442002442
0,3	2,32234432234	2,34192918193	-79,5848595849
0,6	2,31223443223	2,35262515263	-100,390720391
0,9	2,30139194139	2,36356532357	-122,173382173
1,2	2,2884981685	2,3767032967	-148,205128205
1,5	2,27711843712	2,38857142857	-171,452991453
1,8	2,26534798535	2,40063492063	-195,286935287
2,1	2,25362637363	2,4126984127	-219,072039072
2,4	2,2421001221	2,42476190476	-242,661782662
2,7	2,23076923077	2,43658119658	-265,811965812
