Channel              :,CH1
Frequency            :,1.980kHz
Period               :,0.505ms
PK-PK                :,252.0mV
Probe attenuation    :,1X
Voltage per ADC value:,0.122070mV
Time interval        :,1.00000us

index,CH1_Voltage(mV)
433,-48.828125
434,-46.875000
435,-44.921875
436,-42.968750
437,-41.015625
438,-41.015625
439,-39.062500
440,-37.109375
441,-35.156250
442,-35.156250
443,-33.203125
444,-31.250000
445,-29.296875
446,-29.296875
447,-27.343750
448,-25.390625
449,-23.437500
450,-21.484375
451,-21.484375
452,-19.531250
453,-17.578125
454,-15.625000
455,-13.671875
456,-13.671875
457,-11.718750
458,-9.765625
459,-7.812500
460,-5.859375
461,-3.906250
462,-3.906250
463,-1.953125
464,0.000000
465,1.953125
466,1.953125
467,3.906250
468,5.859375
469,7.812500
470,9.765625
471,9.765625
472,11.718750
473,13.671875
474,15.625000
475,17.578125
476,17.578125
477,19.531250
478,21.484375
479,23.437500
480,23.437500
481,25.390625
482,27.343750
483,29.296875
484,31.250000
485,31.250000
486,33.203125
487,35.156250
488,35.156250
489,37.109375
490,39.062500
491,41.015625
492,41.015625
493,42.968750
494,44.921875
495,46.875000
496,46.875000
497,48.828125
498,50.781250
499,52.734375
500,52.734375
501,54.687500
502,56.640625
503,56.640625
504,58.593750
505,58.593750
506,60.546875
507,62.500000
508,62.500000
509,64.453125
510,66.406250
511,68.359375
512,68.359375
513,70.312500
514,70.312500
515,72.265625
516,74.218750
517,74.218750
518,76.171875
519,76.171875
520,78.125000
521,80.078125
522,80.078125
523,82.031250
524,82.031250
525,83.984375
526,83.984375
527,85.937500
528,85.937500
529,87.890625
530,87.890625
531,89.843750
532,89.843750
533,91.796875
534,91.796875
535,93.750000
536,93.750000
537,95.703125
538,95.703125
539,95.703125
540,97.656250
541,97.656250
542,99.609375
543,99.609375
544,101.562500
545,101.562500
546,101.562500
547,103.515625
548,105.468750
549,105.468750
550,105.468750
551,105.468750
552,107.421875
553,107.421875
554,107.421875
555,109.375000
556,109.375000
557,109.375000
558,111.328125
559,111.328125
560,111.328125
561,113.281250
562,113.281250
563,113.281250
564,113.281250
565,115.234375
566,115.234375
567,115.234375
568,115.234375
569,115.234375
570,117.187500
571,117.187500
572,117.187500
573,117.187500
574,119.140625
575,119.140625
576,119.140625
577,119.140625
578,119.140625
579,119.140625
580,119.140625
581,121.093750
582,121.093750
583,121.093750
584,121.093750
585,121.093750
586,121.093750
587,121.093750
588,121.093750
589,123.046875
590,123.046875
591,123.046875
592,123.046875
593,121.093750
594,121.093750
595,123.046875
596,123.046875
597,123.046875
598,123.046875
599,123.046875
600,123.046875
601,123.046875
602,123.046875
603,123.046875
604,121.093750
605,121.093750
606,121.093750
607,121.093750
608,121.093750
609,121.093750
610,121.093750
611,121.093750
612,121.093750
613,121.093750
614,121.093750
615,119.140625
616,119.140625
617,119.140625
618,119.140625
619,119.140625
620,117.187500
621,117.187500
622,117.187500
623,117.187500
624,117.187500
625,117.187500
626,115.234375
627,115.234375
628,115.234375
629,113.281250
630,113.281250
631,113.281250
632,111.328125
633,113.281250
634,111.328125
635,111.328125
636,111.328125
637,109.375000
638,109.375000
639,107.421875
640,107.421875
641,107.421875
642,105.468750
643,105.468750
644,105.468750
645,103.515625
646,103.515625
647,103.515625
648,101.562500
649,101.562500
650,99.609375
651,99.609375
652,97.656250
653,95.703125
654,95.703125
655,95.703125
656,95.703125
657,93.750000
658,93.750000
659,91.796875
660,91.796875
661,89.843750
662,89.843750
663,87.890625
664,85.937500
665,85.937500
666,83.984375
667,83.984375
668,83.984375
669,82.031250
670,82.031250
671,80.078125
672,78.125000
673,78.125000
674,76.171875
675,74.218750
676,74.218750
677,72.265625
678,70.312500
679,70.312500
680,68.359375
681,68.359375
682,66.406250
683,64.453125
684,64.453125
685,62.500000
686,62.500000
687,60.546875
688,58.593750
689,56.640625
690,56.640625
691,54.687500
692,52.734375
693,52.734375
694,50.781250
695,48.828125
696,46.875000
697,46.875000
698,44.921875
699,44.921875
700,42.968750
701,41.015625
702,39.062500
703,37.109375
704,37.109375
705,35.156250
706,33.203125
707,31.250000
708,31.250000
709,29.296875
710,27.343750
711,27.343750
712,25.390625
713,23.437500
714,21.484375
715,19.531250
716,19.531250
717,17.578125
718,15.625000
719,13.671875
720,11.718750
721,11.718750
722,9.765625
723,7.812500
724,5.859375
725,5.859375
726,3.906250
727,1.953125
728,0.000000
729,0.000000
730,-1.953125
731,-3.906250
732,-5.859375
733,-7.812500
734,-9.765625
735,-9.765625
736,-11.718750
737,-13.671875
738,-15.625000
739,-15.625000
740,-17.578125
741,-19.531250
742,-21.484375
743,-23.437500
744,-25.390625
745,-25.390625
746,-27.343750
747,-29.296875
748,-31.250000
749,-33.203125
750,-33.203125
751,-35.156250
752,-37.109375
753,-39.062500
754,-39.062500
755,-41.015625
756,-42.968750
757,-44.921875
758,-44.921875
759,-46.875000
760,-48.828125
761,-50.781250
762,-52.734375
763,-52.734375
764,-54.687500
765,-56.640625
766,-56.640625
767,-58.593750
768,-60.546875
769,-62.500000
770,-62.500000
771,-64.453125
772,-64.453125
773,-66.406250
774,-68.359375
775,-70.312500
776,-70.312500
777,-72.265625
778,-74.218750
779,-74.218750
780,-76.171875
781,-78.125000
782,-78.125000
783,-80.078125
784,-82.031250
785,-82.031250
786,-83.984375
787,-85.937500
788,-85.937500
789,-87.890625
790,-87.890625
791,-89.843750
792,-89.843750
793,-91.796875
794,-91.796875
795,-93.750000
796,-95.703125
797,-95.703125
798,-97.656250
799,-97.656250
800,-99.609375
801,-99.609375
802,-101.562500
803,-101.562500
804,-103.515625
805,-103.515625
806,-103.515625
807,-105.468750
808,-105.468750
809,-107.421875
810,-107.421875
811,-109.375000
812,-109.375000
813,-111.328125
814,-111.328125
815,-111.328125
816,-113.281250
817,-113.281250
818,-113.281250
819,-113.281250
820,-115.234375
821,-115.234375
822,-117.187500
823,-117.187500
824,-117.187500
825,-117.187500
826,-117.187500
827,-119.140625
828,-119.140625
829,-119.140625
830,-119.140625
831,-119.140625
832,-121.093750
833,-121.093750
834,-121.093750
835,-121.093750
836,-123.046875
837,-123.046875
838,-123.046875
