Channel              :,CH1
Frequency            :,1.012kHz
Period               :,0.989ms
PK-PK                :,234.4mV
Probe attenuation    :,1X
Voltage per ADC value:,0.244141mV
Time interval        :,1.00000us

index,CH1_Voltage(mV)
138,31.250000
139,35.156250
140,35.156250
141,35.156250
142,35.156250
143,35.156250
144,35.156250
145,39.062500
146,39.062500
147,39.062500
148,39.062500
149,39.062500
150,39.062500
151,42.968750
152,42.968750
153,42.968750
154,42.968750
155,42.968750
156,42.968750
157,46.875000
158,42.968750
159,46.875000
160,46.875000
161,46.875000
162,46.875000
163,46.875000
164,46.875000
165,50.781250
166,50.781250
167,50.781250
168,50.781250
169,50.781250
170,50.781250
171,54.687500
172,54.687500
173,54.687500
174,54.687500
175,54.687500
176,54.687500
177,54.687500
178,54.687500
179,58.593750
180,58.593750
181,58.593750
182,58.593750
183,58.593750
184,58.593750
185,58.593750
186,62.500000
187,62.500000
188,62.500000
189,62.500000
190,62.500000
191,62.500000
192,62.500000
193,62.500000
194,62.500000
195,66.406250
196,66.406250
197,66.406250
198,66.406250
199,66.406250
200,66.406250
201,70.312500
202,70.312500
203,70.312500
204,70.312500
205,70.312500
206,70.312500
207,70.312500
208,70.312500
209,70.312500
210,74.218750
211,74.218750
212,74.218750
213,74.218750
214,74.218750
215,74.218750
216,74.218750
217,74.218750
218,74.218750
219,74.218750
220,78.125000
221,74.218750
222,78.125000
223,78.125000
224,78.125000
225,78.125000
226,78.125000
227,78.125000
228,78.125000
229,78.125000
230,82.031250
231,82.031250
232,82.031250
233,82.031250
234,82.031250
235,82.031250
236,82.031250
237,82.031250
238,82.031250
239,82.031250
240,82.031250
241,85.937500
242,85.937500
243,85.937500
244,85.937500
245,85.937500
246,85.937500
247,85.937500
248,85.937500
249,85.937500
250,85.937500
251,85.937500
252,85.937500
253,85.937500
254,89.843750
255,85.937500
256,89.843750
257,89.843750
258,89.843750
259,89.843750
260,89.843750
261,89.843750
262,89.843750
263,89.843750
264,89.843750
265,89.843750
266,89.843750
267,89.843750
268,89.843750
269,89.843750
270,93.750000
271,93.750000
272,93.750000
273,93.750000
274,93.750000
275,93.750000
276,93.750000
277,93.750000
278,93.750000
279,93.750000
280,93.750000
281,93.750000
282,93.750000
283,93.750000
284,93.750000
285,93.750000
286,93.750000
287,93.750000
288,93.750000
289,93.750000
290,93.750000
291,93.750000
292,93.750000
293,97.656250
294,93.750000
295,93.750000
296,97.656250
297,97.656250
298,93.750000
299,97.656250
300,97.656250
301,97.656250
302,97.656250
303,97.656250
304,97.656250
305,97.656250
306,97.656250
307,97.656250
308,97.656250
309,97.656250
310,97.656250
311,97.656250
312,97.656250
313,97.656250
314,97.656250
315,97.656250
316,97.656250
317,97.656250
318,97.656250
319,97.656250
320,97.656250
321,101.562500
322,97.656250
323,97.656250
324,97.656250
325,97.656250
326,97.656250
327,97.656250
328,97.656250
329,97.656250
330,97.656250
331,97.656250
332,97.656250
333,97.656250
334,97.656250
335,97.656250
336,97.656250
337,97.656250
338,97.656250
339,97.656250
340,97.656250
341,97.656250
342,97.656250
343,97.656250
344,97.656250
345,97.656250
346,97.656250
347,97.656250
348,97.656250
349,97.656250
350,97.656250
351,97.656250
352,97.656250
353,97.656250
354,97.656250
355,97.656250
356,97.656250
357,97.656250
358,97.656250
359,97.656250
360,97.656250
361,97.656250
362,97.656250
363,93.750000
364,93.750000
365,97.656250
366,93.750000
367,93.750000
368,93.750000
369,93.750000
370,93.750000
371,93.750000
372,93.750000
373,93.750000
374,93.750000
375,93.750000
376,93.750000
377,93.750000
378,93.750000
379,93.750000
380,93.750000
381,93.750000
382,89.843750
383,93.750000
384,89.843750
385,89.843750
386,89.843750
387,89.843750
388,89.843750
389,89.843750
390,89.843750
391,89.843750
392,89.843750
393,89.843750
394,89.843750
395,89.843750
396,89.843750
397,89.843750
398,89.843750
399,89.843750
400,89.843750
401,85.937500
402,85.937500
403,85.937500
404,85.937500
405,85.937500
406,85.937500
407,85.937500
408,85.937500
409,85.937500
410,85.937500
411,85.937500
412,85.937500
