"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;1,06227106227;2,3663003663
0,004;-9,93650793651;-9,82417582418
0,008;2,2735042735;1,25274725275
0,012;8,83272283272;9,37484737485
0,016;-5,73137973138;-4,59340659341
0,02;-6,99145299145;-7,68498168498
0,024;8,00244200244;7,41147741148
0,028;3,84126984127;5,01831501832
0,032;-9,7264957265;-9,2967032967
0,036;-0,578754578755;-1,61904761905
0,04;9,64346764347;9,87301587302
0,044;-3,13308913309;-1,86813186813
0,048;-8,78388278388;-9,1746031746
0,052;6,06349206349;5,23321123321
0,056;6,27838827839;7,24542124542
0,06;-8,68131868132;-7,89987789988
0,064;-3,36263736264;-4,32967032967
0,068;9,58485958486;9,44810744811
0,072;-0,30525030525;0,979242979243
0,076;-9,76068376068;-9,80463980464
0,08;3,62148962149;2,63492063492
0,084;8,15384615385;8,86202686203
0,088;-6,89377289377;-5,83394383394
0,092;-5,87301587302;-6,67399267399
0,096;8,73015873016;8,28571428571
0,1;2,45421245421;3,69474969475
0,104;-9,93650793651;-9,67277167277
0,108;0,930402930403;-0,105006105006
0,112;9,31623931624;9,70695970696
0,116;-4,54945054945;-3,3431013431
0,12;-7,92918192918;-8,48107448107
0,124;7,18192918193;6,44932844933
0,128;5,0231990232;6,10256410256
0,132;-9,3601953602;-8,75946275946
0,136;-1,85347985348;-2,86935286935
0,14;9,7557997558;9,77533577534
0,144;-1,89255189255;-0,603174603175
0,148;-9,32600732601;-9,55555555556
0,152;5,01343101343;4,10500610501
0,156;7,20146520147;8,05616605617
0,16;-7,9536019536;-7,05494505495
0,164;-4,51037851038;-5,4188034188
0,168;9,31135531136;8,98901098901
0,172;0,930402930403;2,20512820513
0,176;-9,92185592186;-9,83882783883
0,18;2,44932844933;1,42857142857
0,184;8,75946275946;9,32112332112
0,188;-5,89743589744;-4,76923076923
0,192;-6,8547008547;-7,59218559219
0,196;8,11965811966;7,55311355311
0,2;3,62637362637;4,81318681319
0,204;-9,77533577534;-9,36507936508
0,208;-0,310134310134;-1,35531135531
0,212;9,59951159951;9,85836385836
0,216;-3,31868131868;-2,15628815629
0,22;-8,62759462759;-9,0525030525
0,224;6,29792429792;5,4822954823
0,228;6,03907203907;7,03540903541
0,232;-8,85714285714;-8,09523809524
0,236;-3,02075702076;-4,00244200244
0,24;9,64835164835;9,55067155067
0,244;-0,676434676435;0,608058608059
0,248;-9,68742368742;-9,76068376068
0,252;3,97313797314;2,98168498168
0,256;7,92918192918;8,67643467643
0,26;-7,17216117216;-6,16117216117
0,264;-5,54578754579;-6,37606837607
0,268;8,9010989011;8,50549450549
0,272;2,03907203907;3,29426129426
0,276;-9,96092796093;-9,73626373626
0,28;1,33577533578;0,295482295482
0,284;9,18925518926;9,62393162393
0,288;-4,94017094017;-3,75335775336
0,292;-7,63614163614;-8,24664224664
0,296;7,45543345543;6,77167277167
0,3;4,6568986569;5,77045177045
0,304;-9,50183150183;-8,95482295482
0,308;-1,4188034188;-2,46886446886
0,312;9,73626373626;9,82417582418
0,316;-2,30280830281;-1,0231990232
0,32;-9,16483516484;-9,46275946276
0,324;5,36507936508;4,50549450549
0,328;6,88888888889;7,78754578755
0,332;-8,23199023199;-7,35775335775
0,336;-4,12942612943;-5,05738705739
0,34;9,42857142857;9,18925518926
0,344;0,47619047619;1,7557997558
0,348;-9,88278388278;-9,8485958486
0,352;2,84981684982;1,84371184371
0,356;8,56898656899;9,16971916972
0,36;-6,26373626374;-5,16483516484
0,364;-6,51282051282;-7,25518925519
0,368;8,35409035409;7,81196581197
0,372;3,23076923077;4,43223443223
0,376;-9,84371184371;-9,48717948718
0,38;0,129426129426;-0,930402930403
0,384;9,5115995116;9,81440781441
0,388;-3,81684981685;-2,57142857143
0,392;-8,39804639805;-8,87179487179
0,396;6,63492063492;5,83882783883
0,4;5,67277167277;6,70818070818
0,404;-9,0525030525;-8,35897435897
0,408;-2,59584859585;-3,59218559219
0,412;9,70207570208;9,65323565324
0,416;-1,15018315018;0,139194139194
0,42;-9,55555555556;-9,70207570208
0,424;4,39804639805;3,44566544567
0,428;7,65079365079;8,43711843712
0,432;-7,51892551893;-6,55189255189
0,436;-5,11111111111;-5,97557997558
0,44;9,10134310134;8,70573870574
0,444;1,57020757021;2,83028083028
