"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;8,99389499389;8,26617826618
0,004;3,81684981685;2,21978021978
0,008;-3,54822954823;-5,08669108669
0,012;-9,06715506716;-9,56043956044
0,016;-9,44810744811;-8,55921855922
0,02;-4,47130647131;-2,62515262515
0,024;2,93284493284;4,73504273504
0,028;8,59829059829;9,4188034188
0,032;9,28205128205;8,72039072039
0,036;4,60805860806;3,05494505495
0,04;-2,71306471306;-4,30525030525
0,044;-8,64713064713;-9,2967032967
0,048;-9,69719169719;-8,97924297924
0,052;-5,2380952381;-3,48473748474
0,056;2,04884004884;3,90964590965
0,06;8,13919413919;9,11111111111
0,064;9,50671550672;9,07203907204
0,068;5,36507936508;3,89010989011
0,072;-1,79487179487;-3,4358974359
0,076;-8,13431013431;-8,95482295482
0,08;-9,86324786325;-9,32112332112
0,084;-5,98046398046;-4,28083028083
0,088;1,20879120879;3,10866910867
0,092;7,61172161172;8,72527472527
0,096;9,663003663;9,39926739927
0,1;6,09768009768;4,70085470085
0,104;-0,959706959707;-2,62515262515
0,108;-7,57264957265;-8,53968253968
0,112;-9,94627594628;-9,57020757021
0,116;-6,70818070818;-4,96459096459
0,12;0,30525030525;2,23443223443
0,124;7,05494505495;8,28083028083
0,128;9,73626373626;9,6336996337
0,132;6,77655677656;5,49206349206
0,136;-0,041514041514;-1,73137973138
0,14;-6,95238095238;-8,05128205128
0,144;-9,96092796093;-9,73137973138
0,148;-7,36752136752;-5,8485958486
0,152;-0,583638583639;1,35042735043
0,156;6,3956043956;7,77289377289
0,16;9,70695970696;9,7851037851
0,164;7,36263736264;6,18070818071
0,168;0,837606837607;-0,847374847375
0,172;-6,25885225885;-7,47985347985
0,176;-9,89255189255;-9,81929181929
0,18;-7,96825396825;-6,57631257631
0,184;-1,47741147741;0,461538461538
0,188;5,69719169719;7,1916971917
0,192;9,59462759463;9,87301587302
0,196;7,9242979243;6,86446886447
0,2;1,69719169719;0,0561660561661
0,204;-5,52625152625;-6,84981684982
0,208;-9,76068376068;-9,84371184371
0,212;-8,48107448107;-7,20634920635
0,216;-2,38095238095;-0,446886446886
0,22;4,93528693529;6,53724053724
0,224;9,40415140415;9,83394383394
0,228;8,40781440781;7,47496947497
0,232;2,57142857143;0,915750915751
0,236;-4,72527472527;-6,14652014652
0,24;-9,54578754579;-9,77533577534
0,244;-8,9304029304;-7,8021978022
0,248;-3,21123321123;-1,30158730159
0,252;4,16361416361;5,82905982906
0,256;9,115995116;9,71672771673
0,26;8,81807081807;8,03663003663
0,264;3,41636141636;1,79487179487
0,268;-3,94871794872;-5,44810744811
0,272;-9,22832722833;-9,63858363858
0,276;-9,31623931624;-8,35409035409
0,28;-4,0757020757;-2,2148962149
0,284;3,32844932845;5,09645909646
0,288;8,78388278388;9,52625152625
0,292;9,16971916972;8,5347985348
0,296;4,27106227106;2,69352869353
0,3;-3,07936507937;-4,64713064713
0,304;-8,85714285714;-9,42857142857
0,308;-9,59951159951;-8,81318681319
0,312;-4,9010989011;-3,08913308913
0,316;2,44932844933;4,2905982906
0,32;8,35409035409;9,25763125763
0,324;9,40903540904;8,92551892552
0,328;5,01831501832;3,53846153846
0,332;-2,19536019536;-3,81196581197
0,336;-8,37362637363;-9,12087912088
0,34;-9,79975579976;-9,18437118437
0,344;-5,67765567766;-3,90476190476
0,348;1,57020757021;3,45054945055
0,352;7,85103785104;8,90598290598
0,356;9,60927960928;9,28205128205
0,36;5,78998778999;4,35409035409
0,364;-1,31623931624;-2,96703296703
0,368;-7,82661782662;-8,73504273504
0,372;-9,91697191697;-9,47252747253
0,376;-6,41514041514;-4,75946275946
0,38;0,695970695971;2,71306471306
0,384;7,28449328449;8,48107448107
0,388;9,71672771673;9,5409035409
0,392;6,50305250305;5,16971916972
0,396;-0,485958485958;-2,05860805861
0,4;-7,19658119658;-8,24664224664
0,404;-9,97557997558;-9,65323565324
0,408;-7,0989010989;-5,53601953602
0,412;-0,222222222222;1,71184371184
0,416;6,65934065934;7,97313797314
0,42;9,73626373626;9,73626373626
0,424;7,15262515263;5,91697191697
0,428;0,368742368742;-1,20879120879
0,432;-6,53724053724;-7,68498168498
0,436;-9,91697191697;-9,79975579976
0,44;-7,74847374847;-6,30280830281
0,444;-1,13064713065;0,808302808303
0,448;5,98046398046;7,42612942613
0,452;9,6336996337;9,8485958486
0,456;7,74847374847;6,64468864469
0,46;1,40415140415;-0,28083028083
0,464;-5,81440781441;-7,0989010989
0,468;-9,81440781441;-9,8485958486
0,472;-8,31013431013;-6,99633699634
0,476;-2,05860805861;-0,124542124542
0,48;5,21855921856;6,78144078144
0,484;9,4822954823;9,85836385836
0,488;8,25152625153;7,27960927961
0,492;2,29792429792;0,632478632479
0,496;-5,01343101343;-6,40537240537
0,5;-9,62393162393;-9,80463980464
0,504;-8,77411477411;-7,61172161172
0,508;-2,92796092796;-1,01343101343
0,512;4,42246642247;6,07814407814
0,516;9,22344322344;9,76556776557
0,52;8,68131868132;7,84615384615
0,524;3,00610500611;1,47741147741
0,528;-4,21733821734;-5,68742368742
0,532;-9,34554334554;-9,70695970696
0,536;-9,18925518926;-8,17826617827
0,54;-3,77777777778;-1,88766788767
0,544;3,63125763126;5,34554334554
0,548;8,9010989011;9,59462759463
0,552;9,0525030525;8,36874236874
0,556;3,98778998779;2,38583638584
0,56;-3,38217338217;-4,9010989011
0,564;-8,98901098901;-9,50671550672
0,568;-9,50183150183;-8,65201465201
0,572;-4,61294261294;-2,78144078144
0,576;2,75702075702;4,54456654457
0,58;8,51526251526;9,35042735043
0,584;9,33577533578;8,80341880342
0,588;4,76923076923;3,23076923077
0,592;-2,51282051282;-4,10989010989
0,596;-8,54945054945;-9,2380952381
0,6;-9,74603174603;-9,06715506716
0,604;-5,39926739927;-3,62637362637
0,608;1,89743589744;3,76312576313
0,612;8,04151404151;9,0231990232
0,616;9,55555555556;9,17948717949
0,62;5,5409035409;4,08547008547
0,624;-1,64835164835;-3,29426129426
0,628;-8,04151404151;-8,89133089133
0,632;-9,87301587302;-9,38461538462
0,636;-6,16605616606;-4,48107448107
0,64;0,998778998779;2,90842490842
0,644;7,51892551893;8,66178266178
0,648;9,68742368742;9,45299145299
0,652;6,26862026862;4,80341880342
0,656;-0,730158730159;-2,40048840049
0,66;-7,44566544567;-8,44688644689
0,664;-9,96092796093;-9,6043956044
0,668;-6,83028083028;-5,26251526252
0,672;0,100122100122;2,02442002442
0,676;6,90354090354;8,18315018315
0,68;9,75091575092;9,67277167277
0,684;6,88888888889;5,52625152625
0,688;0,139194139194;-1,54578754579
0,692;-6,80097680098;-7,9242979243
0,696;-9,95115995116;-9,7557997558
0,7;-7,48962148962;-5,99023199023
0,704;-0,735042735043;1,16483516484
0,708;6,25396825397;7,65567765568
0,712;9,68742368742;9,80952380952
