"Latest: Time (s)";"Latest: Potential 1 (V)";"Latest: Potential 2 (V)"
0;-7,7094017094;-8,18315018315
0,004;9,73137973138;9,83882783883
0,008;-8,23687423687;-7,48962148962
0,012;2,90354090354;2,10256410256
0,016;3,12332112332;4,23199023199
0,02;-8,32478632479;-8,72527472527
0,024;9,71184371184;9,71184371184
0,028;-7,5873015873;-6,76678876679
0,032;1,94139194139;1,10134310134
0,036;4,06593406593;5,06227106227
0,04;-8,85714285714;-9,15506715507
0,044;9,57509157509;9,47741147741
0,048;-6,87423687424;-5,98534798535
0,052;0,945054945055;0,0903540903541
0,056;4,96947496947;5,91208791209
0,06;-9,29181929182;-9,4822954823
0,064;9,34554334554;9,15018315018
0,068;-6,05860805861;-5,12576312576
0,072;-0,0708180708181;-0,920634920635
0,076;5,81929181929;6,7032967033
0,08;-9,61416361416;-9,70207570208
0,084;9,01831501832;8,72527472527
0,088;-5,21855921856;-4,1978021978
0,092;-1,08180708181;-1,92185592186
0,096;6,60561660562;7,41636141636
0,1;-9,82417582418;-9,81440781441
0,104;8,58363858364;8,22222222222
0,108;-4,28571428571;-3,26007326007
0,112;-2,08791208791;-2,91330891331
0,116;7,32356532357;8,05128205128
0,12;-9,94139194139;-9,84371184371
0,124;8,0757020757;7,60683760684
0,128;-3,34798534799;-2,27838827839
0,132;-3,07448107448;-3,87057387057
0,136;7,94871794872;8,58852258852
0,14;-9,96092796093;-9,76556776557
0,144;7,47008547009;6,86935286935
0,148;-2,35653235653;-1,27228327228
0,152;-4,03663003663;-4,79853479853
0,156;8,48107448107;9,04761904762
0,16;-9,88278388278;-9,58974358974
0,164;6,77655677656;6,17094017094
0,168;-1,3601953602;-0,251526251526
0,172;-4,94993894994;-5,66788766789
0,176;8,9304029304;9,39926739927
0,18;-9,69719169719;-9,30647130647
0,184;6,01465201465;5,34065934066
0,188;-0,344322344322;0,759462759463
0,192;-5,79975579976;-6,47863247863
0,196;9,28205128205;9,65811965812
0,2;-9,4188034188;-8,91575091575
0,204;5,18925518926;4,46153846154
0,208;0,671550671551;1,77045177045
0,212;-6,61538461538;-7,22588522589
0,216;9,54578754579;9,81440781441
0,22;-9,01831501832;-8,4126984127
0,224;4,30036630037;3,52869352869
0,228;1,68742368742;2,7619047619
0,232;-7,36752136752;-7,89010989011
0,236;9,69230769231;9,8778998779
0,24;-8,51526251526;-7,81196581197
0,244;3,36263736264;2,57142857143
0,248;2,68376068376;3,71428571429
0,252;-8,05128205128;-8,47619047619
0,256;9,75091575092;9,77045177045
0,26;-7,90476190476;-7,11843711844
0,264;2,39072039072;1,57997557998
0,268;3,62148962149;4,6568986569
0,272;-8,61294261294;-8,95970695971
0,276;9,64835164835;9,59951159951
0,28;-7,21611721612;-6,37118437118
0,284;1,39438339438;0,568986568987
0,288;4,55433455433;5,52625152625
0,292;-9,09645909646;-9,33577533578
0,296;9,46764346764;9,31623931624
0,3;-6,46398046398;-5,5409035409
0,304;0,40293040293;-0,442002442002
0,308;5,43833943834;6,336996337
0,312;-9,47741147741;-9,61416361416
0,316;9,18437118437;8,94017094017
0,32;-5,62881562882;-4,65201465201
0,324;-0,603174603175;-1,45299145299
0,328;6,24908424908;7,10866910867
0,332;-9,73626373626;-9,77533577534
0,336;8,80341880342;8,47130647131
0,34;-4,73504273504;-3,7094017094
0,344;-1,62393162393;-2,4590964591
0,348;6,99633699634;7,76800976801
0,352;-9,89255189255;-9,84371184371
0,356;8,32478632479;7,89987789988
0,36;-3,79731379731;-2,7326007326
0,364;-2,62026862027;-3,4358974359
0,368;7,66544566545;8,35409035409
0,372;-9,9706959707;-9,80952380952
0,376;7,75824175824;7,25030525031
0,38;-2,82051282051;-1,73626373626
0,384;-3,59218559219;-4,37851037851
0,388;8,26129426129;8,85714285714
0,392;-9,92673992674;-9,67765567766
0,396;7,09401709402;6,52747252747
0,4;-1,81440781441;-0,720390720391
0,404;-4,54456654457;-5,27716727717
0,408;8,74969474969;9,25274725275
0,412;-9,79487179487;-9,45299145299
0,416;6,37606837607;5,7264957265
0,42;-0,798534798535;0,30525030525
0,424;-5,43345543346;-6,12698412698
0,428;9,1452991453;9,55555555556
0,432;-9,55555555556;-9,07203907204
0,436;5,57020757021;4,85714285714
0,44;0,217338217338;1,32112332112
0,444;-6,25885225885;-6,88888888889
0,448;9,43833943834;9,75091575092
0,452;-9,20390720391;-8,63736263736
0,456;4,70573870574;3,91452991453
0,46;1,2380952381;2,30280830281
0,464;-7,04029304029;-7,61660561661
0,468;9,63858363858;9,86324786325
0,472;-8,74969474969;-8,09035409035
0,476;3,77777777778;2,98656898657
0,48;2,30769230769;3,3137973138
0,484;-7,75824175824;-8,22710622711
0,488;9,74603174603;9,83394383394
0,492;-8,18315018315;-7,4358974359
0,496;2,82051282051;2
0,5;3,20146520147;4,23687423687
0,504;-8,37851037851;-8,76434676435
0,508;9,70695970696;9,70207570208
0,512;-7,52869352869;-6,7032967033
0,516;1,84371184371;1,01831501832
0,52;4,14407814408;5,14041514042
0,524;-8,9010989011;-9,18925518926
0,528;9,55555555556;9,45299145299
0,532;-6,79609279609;-5,89743589744
0,536;0,857142857143;-0,01221001221
0,54;5,04761904762;5,98534798535
0,544;-9,31623931624;-9,50183150183
0,548;9,32112332112;9,115995116
0,552;-6,00488400488;-5,03296703297
0,556;-0,148962148962;-1,00366300366
0,56;5,88766788767;6,76678876679
0,564;-9,64346764347;-9,71184371184
0,568;8,97924297924;8,68131868132
0,572;-5,1452991453;-4,13919413919
0,576;-1,15995115995;-2,01465201465
0,58;6,66910866911;7,47008547009
0,584;-9,84371184371;-9,81929181929
0,588;8,54945054945;8,15873015873
0,592;-4,22710622711;-3,17704517705
0,596;-2,16605616606;-2,99145299145
0,6;7,37240537241;8,09523809524
0,604;-9,94627594628;-9,83882783883
0,608;8,01709401709;7,56288156288
0,612;-3,27472527473;-2,19536019536
0,616;-3,14774114774;-3,9536019536
0,62;7,99755799756;8,63247863248
0,624;-9,95604395604;-9,74603174603
0,628;7,40659340659;6,86935286935
0,632;-2,28327228327;-1,18925518926
0,636;-4,10500610501;-4,86691086691
0,64;8,52991452991;9,07692307692
0,644;-9,86813186813;-9,57020757021
0,648;6,71794871795;6,10256410256
0,652;-1,27228327228;-0,173382173382
0,656;-5,02808302808;-5,73626373626
0,66;8,97924297924;9,42368742369
0,664;-9,68253968254;-9,27716727717
0,668;5,95115995116;5,27228327228
0,672;-0,251526251526;0,847374847375
0,676;-5,89255189255;-6,54700854701
0,68;9,31623931624;9,67765567766
0,684;-9,38461538462;-8,87667887668
0,688;5,11111111111;4,37851037851
0,692;0,769230769231;1,86324786325
0,696;-6,7032967033;-7,27960927961
0,7;9,55555555556;9,82905982906
0,704;-8,97435897436;-8,36385836386
0,708;4,21245421245;3,4358974359
0,712;1,77045177045;2,8547008547
0,716;-7,44078144078;-7,94871794872
0,72;9,70207570208;9,86813186813
0,724;-8,46153846154;-7,74847374847
0,728;3,27472527473;2,46398046398
0,732;2,7619047619;3,79242979243
0,736;-8,10989010989;-8,52014652015
0,74;9,74114774115;9,77045177045
0,744;-7,84615384615;-7,01587301587
0,748;2,30769230769;1,47741147741
0,752;3,69963369963;4,73504273504
0,756;-8,66178266178;-8,99389499389
0,76;9,64835164835;9,58485958486
0,764;-7,15262515263;-6,28815628816
0,768;1,25763125763;0,471306471306
0,772;4,62759462759;5,58974358974
0,776;-9,13553113553;-9,36507936508
0,78;9,44810744811;9,29181929182
0,784;-6,38095238095;-5,45787545788
0,788;0,324786324786;-0,525030525031
0,792;5,49694749695;6,40048840049
0,796;-9,50183150183;-9,62881562882
0,8;9,15506715507;8,9010989011
0,804;-5,53601953602;-4,5641025641
0,808;-0,710622710623;-1,53113553114
0,812;6,30769230769;7,14774114774
0,816;-9,7557997558;-9,7851037851
0,82;8,75946275946;8,42246642247
0,824;-4,64713064713;-3,63614163614
0,828;-1,69230769231;-2,53235653236
0,832;7,04029304029;7,81196581197
0,836;-9,90231990232;-9,84371184371
0,84;8,28571428571;7,85592185592
0,844;-3,72893772894;-2,66910866911
0,848;-2,68376068376;-3,49450549451
0,852;7,7094017094;8,38827838828
0,856;-9,97557997558;-9,79975579976
0,86;7,70451770452;7,20634920635
0,864;-2,75213675214;-1,67277167277
0,868;-3,66056166056;-4,442002442
0,872;8,2905982906;8,88644688645
0,876;-9,91697191697;-9,66788766789
0,88;7,05982905983;6,47863247863
0,884;-1,7557997558;-0,656898656899
0,888;-4,58852258852;-5,33089133089
0,892;8,76923076923;9,27228327228
0,896;-9,78021978022;-9,42857142857
0,9;6,32234432234;5,67765567766
0,904;-0,739926739927;0,358974358974
0,908;-5,4822954823;-6,16605616606
0,912;9,15995115995;9,57020757021
0,916;-9,5409035409;-9,08180708181
0,92;5,52625152625;4,81807081807
0,924;0,266178266178;1,3601953602
0,928;-6,31257631258;-6,93772893773
0,932;9,45299145299;9,76068376068
0,936;-9,19413919414;-8,62759462759
0,94;4,66666666667;3,90964590965
0,944;1,27716727717;2,36141636142
0,948;-7,08424908425;-7,64102564103
0,952;9,64835164835;9,86324786325
0,956;-8,73015873016;-8,06593406593
0,96;3,75335775336;2,95238095238
0,964;2,2735042735;3,3431013431
0,968;-7,78266178266;-8,26129426129
0,972;9,74603174603;9,83394383394
0,976;-8,1684981685;-7,41636141636
0,98;2,79609279609;1,9706959707
0,984;3,25030525031;4,26129426129
0,988;-8,38827838828;-8,77411477411
0,992;9,70695970696;9,69230769231
0,996;-7,49938949939;-6,67887667888
1;1,81440781441;0,969474969475
