Channel              :,CH1
Frequency            :,1.010kHz
Period               :,0.990ms
PK-PK                :,234.4mV
Probe attenuation    :,1X
Voltage per ADC value:,0.244141mV
Time interval        :,1.00000us

index,CH1_Voltage(mV)
230,82.031250
231,82.031250
232,82.031250
233,82.031250
234,82.031250
235,82.031250
236,82.031250
237,82.031250
238,82.031250
239,82.031250
240,82.031250
241,82.031250
242,82.031250
243,82.031250
244,85.937500
245,85.937500
246,85.937500
247,85.937500
248,85.937500
249,85.937500
250,85.937500
251,85.937500
252,85.937500
253,85.937500
254,85.937500
255,85.937500
256,85.937500
257,85.937500
258,89.843750
259,89.843750
260,89.843750
261,89.843750
262,89.843750
263,89.843750
264,89.843750
265,89.843750
266,89.843750
267,89.843750
268,89.843750
269,89.843750
270,89.843750
271,89.843750
272,89.843750
273,89.843750
274,89.843750
275,93.750000
276,89.843750
277,93.750000
278,93.750000
279,93.750000
280,93.750000
281,93.750000
282,93.750000
283,93.750000
284,93.750000
285,93.750000
286,89.843750
287,93.750000
288,93.750000
289,93.750000
290,93.750000
291,93.750000
292,93.750000
293,93.750000
294,93.750000
295,93.750000
296,93.750000
297,93.750000
298,93.750000
299,93.750000
300,93.750000
301,93.750000
302,93.750000
303,93.750000
304,93.750000
305,93.750000
306,93.750000
307,93.750000
308,93.750000
309,93.750000
310,93.750000
311,93.750000
312,93.750000
313,93.750000
314,93.750000
315,93.750000
316,93.750000
317,93.750000
318,93.750000
319,93.750000
320,93.750000
321,93.750000
322,93.750000
323,93.750000
324,93.750000
325,93.750000
326,93.750000
327,93.750000
328,93.750000
329,93.750000
330,93.750000
331,93.750000
332,93.750000
333,93.750000
334,93.750000
335,93.750000
336,93.750000
337,93.750000
338,93.750000
339,93.750000
340,93.750000
341,93.750000
342,93.750000
343,93.750000
344,93.750000
345,93.750000
346,93.750000
347,93.750000
348,93.750000
349,93.750000
350,93.750000
351,93.750000
352,93.750000
353,89.843750
354,93.750000
355,93.750000
356,93.750000
357,89.843750
358,89.843750
359,89.843750
360,89.843750
361,89.843750
362,89.843750
363,89.843750
364,89.843750
365,89.843750
366,89.843750
367,89.843750
368,89.843750
369,89.843750
370,89.843750
371,89.843750
372,89.843750
373,89.843750
374,89.843750
375,89.843750
376,89.843750
377,85.937500
378,85.937500
379,85.937500
380,85.937500
381,85.937500
382,85.937500
383,85.937500
384,85.937500
385,85.937500
386,85.937500
387,85.937500
388,85.937500
389,85.937500
390,85.937500
391,85.937500
392,85.937500
393,82.031250
394,82.031250
395,82.031250
396,82.031250
397,82.031250
398,82.031250
399,82.031250
400,82.031250
401,82.031250
402,82.031250
403,82.031250
