Theta,I_O,I_P
 0, 0.7825, 0.0366
10, 0.7813, 0.0363
20, 0.7825, 0.0333
30, 0.7858, 0.0328
40, 0.7856, 0.0347
50, 0.7874, 0.0347
60, 0.7862, 0.0308
70, 0.7834, 0.0311
80, 0.7827, 0.0344
90, 0.7823, 0.0333
