Theta,I_O,I_P
0, 0.8003, 0.4265
10, 0.8000, 0.4267
20, 0.8022, 0.4271
30, 0.8042, 0.4283
40, 0.8047, 0.4270
50, 0.8003, 0.4276
60, 0.7986, 0.4247
70, 0.7975, 0.4240
80, 0.7966, 0.4200
90, 0.7972, 0.4193
