theta,I_P,I_O
-5,216.6,192.46
0,195.71,171.78
10,184.45,160.84
20,175.39,151.57
30,171.45,147.79
40,168.71,144.93
50,162.72,139.00
60,152.86,129.58
70,151.57,129.04
80,150.05,127.88
90,150.83,128.92
100,149.76,128.42
110,166.77,143.29
120,174.73,150.47
130,178.87,154.91
140,186.35,162.21
150,194.43,170.59
160,206.3,182.36
170,211.7,187.22
180,221.1,196.75
