Channel              :,CH1
Frequency            :,326.1Hz
Period               :,3.067ms
PK-PK                :,20.51mV
Probe attenuation    :,1X
Voltage per ADC value:,0.012207mV
Time interval        :,10.00000us

index,CH1_Voltage(mV)
424,7.812500
425,7.617188
426,7.226563
427,7.226563
428,6.835938
429,6.640625
430,6.445313
431,5.859375
432,6.054688
433,5.859375
434,5.859375
435,5.468750
436,5.468750
437,5.664063
438,5.078125
439,4.882813
440,4.296875
441,4.492188
442,3.906250
443,3.710938
444,3.320313
445,4.101563
446,3.906250
447,3.906250
448,3.906250
449,3.710938
450,3.515625
451,3.320313
452,3.515625
453,2.929688
454,2.929688
455,2.734375
456,3.515625
457,3.320313
458,2.734375
459,3.320313
460,3.320313
461,3.515625
462,3.320313
463,3.906250
464,3.320313
465,3.515625
466,3.710938
467,3.515625
468,3.320313
469,3.515625
470,4.101563
471,3.906250
472,4.687500
473,4.101563
474,5.078125
475,4.882813
476,5.078125
477,5.468750
478,5.273438
479,5.078125
480,5.078125
481,5.273438
482,5.468750
483,6.054688
484,5.468750
485,6.250000
486,5.859375
487,6.250000
488,7.031250
489,7.226563
490,6.835938
491,6.835938
492,6.445313
493,7.031250
494,6.835938
495,7.226563
496,7.812500
497,6.835938
498,7.812500
499,7.812500
500,7.812500
501,7.031250
502,8.007813
503,7.421875
504,8.007813
505,7.226563
506,7.226563
507,7.812500
508,6.835938
509,7.031250
510,7.031250
511,7.421875
512,6.835938
513,7.421875
514,6.640625
515,7.031250
516,7.226563
517,6.640625
518,6.250000
519,6.054688
520,5.859375
521,7.421875
522,6.054688
523,5.078125
524,5.273438
525,4.101563
526,4.687500
527,4.492188
528,3.906250
529,4.101563
530,3.906250
531,3.125000
532,3.906250
533,2.734375
534,2.734375
535,2.148438
536,2.929688
537,2.539063
538,2.539063
539,1.562500
540,1.367188
541,1.562500
542,1.171875
543,0.390625
544,0.390625
545,0.000000
546,-0.781250
547,-0.195313
548,-0.585938
549,-1.171875
550,-1.367188
551,-1.757813
552,-2.343750
553,-2.148438
554,-2.929688
555,-2.539063
556,-2.539063
557,-3.125000
558,-3.515625
559,-3.710938
560,-3.906250
561,-4.492188
562,-3.906250
563,-3.710938
564,-4.492188
565,-5.078125
566,-4.882813
567,-4.687500
568,-5.273438
569,-5.273438
570,-5.078125
571,-4.882813
572,-5.468750
573,-4.492188
574,-5.859375
575,-5.273438
576,-5.078125
577,-4.882813
578,-4.882813
579,-5.468750
580,-5.078125
581,-5.078125
582,-5.273438
583,-5.273438
584,-5.468750
585,-5.468750
586,-4.882813
587,-4.882813
588,-4.296875
589,-4.882813
590,-3.906250
591,-4.687500
592,-4.296875
593,-3.515625
594,-3.515625
595,-2.148438
596,-3.515625
597,-3.710938
598,-3.710938
599,-3.320313
600,-3.125000
601,-2.734375
602,-2.929688
603,-1.953125
604,-2.539063
605,-2.148438
606,-1.562500
607,-1.953125
608,-1.953125
609,-2.148438
610,-1.562500
611,-1.367188
612,-1.367188
613,-1.171875
614,-0.781250
615,-0.195313
616,-0.195313
617,0.195313
618,0.195313
619,0.000000
620,0.585938
621,0.195313
622,0.390625
623,0.195313
624,0.390625
625,0.390625
626,0.976563
627,1.171875
628,0.976563
629,1.367188
630,1.367188
631,1.171875
632,0.976563
633,1.562500
634,1.562500
635,1.367188
636,0.976563
637,0.585938
638,0.781250
639,1.367188
640,1.562500
641,0.976563
642,0.781250
643,1.171875
644,0.976563
645,1.171875
646,0.585938
647,0.976563
648,0.585938
649,0.000000
650,0.195313
651,0.585938
652,0.195313
653,0.390625
654,-0.195313
655,0.585938
656,0.195313
657,-0.195313
658,0.000000
659,-0.781250
660,-1.171875
661,-1.171875
662,-1.562500
663,-1.367188
664,-1.562500
665,-1.562500
666,-1.757813
667,-1.562500
668,-1.757813
669,-2.539063
670,-2.539063
671,-1.562500
672,-2.343750
673,-2.343750
674,-2.929688
675,-3.320313
676,-3.320313
677,-3.125000
678,-3.125000
679,-3.320313
680,-3.515625
681,-3.125000
682,-3.710938
683,-2.929688
684,-2.929688
685,-3.320313
686,-3.710938
687,-3.320313
688,-3.906250
689,-3.125000
690,-3.125000
691,-2.929688
692,-2.929688
693,-2.734375
694,-2.539063
695,-2.539063
696,-2.148438
697,-1.953125
698,-1.953125
699,-1.953125
700,-1.367188
701,-1.757813
702,-0.976563
703,-0.976563
704,-0.781250
705,0.390625
706,0.585938
707,0.390625
708,0.976563
709,1.367188
710,1.562500
711,1.562500
712,1.757813
713,2.343750
714,2.734375
715,2.929688
716,2.929688
717,4.101563
718,3.906250
719,4.882813
720,4.882813
721,4.687500
722,5.468750
723,5.664063
724,6.250000
725,5.859375
726,6.054688
727,6.054688
728,7.031250
729,7.812500
730,7.421875
731,8.203125
732,8.593750
733,8.789063
734,9.179688
735,8.789063
736,9.179688
737,9.570313
738,8.789063
739,9.375000
740,9.570313
741,9.179688
742,9.960938
743,10.742188
744,10.156250
745,10.742188
746,10.351563
747,10.156250
748,10.351563
749,10.351563
750,9.960938
751,9.765625
752,9.765625
753,10.351563
754,10.156250
755,9.570313
756,9.960938
757,9.960938
758,9.375000
759,9.570313
760,9.570313
761,9.179688
762,8.984375
763,8.984375
764,8.593750
765,8.398438
766,8.593750
767,8.398438
768,8.593750
769,7.812500
770,8.593750
771,7.812500
772,8.789063
773,8.203125
774,8.007813
775,7.421875
776,7.421875
777,6.835938
778,6.250000
779,6.640625
780,6.250000
781,6.054688
782,5.859375
783,6.250000
784,5.664063
785,6.445313
786,5.273438
787,4.687500
788,5.078125
789,4.882813
790,4.687500
791,4.101563
792,4.101563
793,3.906250
794,3.710938
795,3.906250
796,4.296875
797,3.710938
798,3.710938
799,3.710938
800,3.906250
801,3.515625
802,3.125000
803,2.539063
804,3.125000
805,2.929688
806,3.125000
807,2.929688
808,3.906250
809,3.515625
810,3.515625
811,3.515625
812,3.320313
813,3.710938
814,3.320313
815,3.710938
816,3.710938
817,3.710938
818,4.101563
819,3.710938
820,3.710938
821,4.492188
822,4.296875
823,4.687500
824,5.078125
825,4.687500
826,4.882813
827,5.273438
828,5.468750
829,5.273438
830,5.078125
831,6.054688
832,6.054688
833,6.445313
834,6.250000
835,6.250000
836,6.054688
837,6.445313
838,6.640625
839,7.031250
840,7.031250
841,6.640625
842,7.421875
843,7.226563
844,7.421875
845,7.031250
846,7.226563
847,7.031250
848,7.617188
849,7.421875
850,7.617188
851,8.398438
852,7.617188
853,7.421875
854,8.007813
855,7.421875
856,7.812500
857,7.031250
858,7.226563
859,7.226563
860,7.617188
861,6.835938
862,6.835938
863,7.031250
864,7.226563
865,6.640625
866,6.054688
867,6.054688
868,6.250000
869,5.273438
870,5.078125
871,5.468750
872,5.468750
873,5.273438
874,4.882813
875,4.882813
876,4.492188
877,4.101563
878,3.710938
879,3.710938
880,3.710938
881,4.101563
882,3.125000
883,2.734375
884,2.343750
885,2.539063
886,2.539063
887,2.148438
888,2.148438
889,3.515625
890,1.757813
891,1.367188
892,1.367188
893,0.976563
894,0.390625
895,-0.195313
896,0.390625
897,-0.390625
898,0.000000
899,-0.781250
900,-0.781250
901,-0.976563
902,-1.367188
903,-1.367188
904,-2.148438
905,-2.148438
906,-3.125000
907,-2.929688
908,-3.125000
909,-2.929688
910,-3.320313
911,-3.515625
912,-3.320313
913,-4.296875
914,-3.710938
915,-4.687500
916,-4.492188
917,-5.078125
918,-4.882813
919,-5.468750
920,-5.468750
921,-5.273438
922,-5.664063
923,-4.882813
924,-5.273438
925,-5.468750
926,-5.273438
927,-5.468750
928,-5.078125
929,-5.078125
930,-4.882813
931,-5.273438
932,-5.273438
933,-5.664063
934,-5.273438
935,-5.078125
936,-5.273438
937,-5.273438
938,-4.492188
939,-3.906250
940,-4.101563
941,-4.296875
942,-3.710938
943,-4.492188
944,-4.101563
945,-3.906250
946,-3.515625
947,-3.320313
948,-2.343750
949,-2.929688
950,-3.125000
951,-2.929688
952,-2.148438
953,-2.343750
954,-1.367188
955,-1.757813
956,-2.539063
957,-2.148438
958,-1.953125
959,-0.976563
960,-0.781250
961,-1.171875
962,-0.976563
963,-0.976563
964,-0.781250
965,-0.585938
966,-0.390625
967,0.195313
968,0.000000
969,0.781250
970,1.562500
971,-0.390625
972,-0.390625
973,0.000000
974,0.390625
975,0.781250
976,0.585938
977,0.781250
978,0.976563
979,0.976563
980,1.367188
981,0.976563
982,0.585938
983,1.171875
984,1.171875
985,0.390625
986,0.976563
987,1.562500
988,1.367188
989,1.562500
990,1.562500
991,1.367188
992,1.367188
993,1.757813
994,0.390625
995,0.390625
996,0.976563
997,1.171875
998,0.781250
999,0.781250
1000,0.390625
1001,0.390625
1002,-0.390625
1003,0.585938
1004,-0.195313
1005,-0.390625
1006,-0.390625
1007,0.976563
1008,0.195313
1009,1.171875
1010,-0.195313
1011,-0.781250
1012,-1.367188
1013,-1.562500
1014,-0.976563
1015,-0.976563
1016,-1.171875
1017,-1.171875
1018,-1.367188
1019,-0.585938
1020,-2.148438
1021,-2.148438
1022,-3.710938
1023,-1.953125
1024,-3.125000
1025,-2.539063
1026,-2.734375
1027,-2.734375
1028,-2.929688
1029,-2.929688
1030,-2.929688
1031,-3.320313
1032,-3.906250
1033,-3.320313
1034,-3.906250
1035,-2.734375
1036,-3.125000
1037,-2.929688
1038,-3.125000
1039,-2.343750
1040,-2.929688
1041,-2.734375
1042,-2.539063
1043,-2.343750
1044,-1.757813
1045,-1.953125
1046,-2.539063
1047,-1.562500
1048,-1.562500
1049,-1.562500
1050,-1.562500
1051,-0.976563
1052,-0.976563
1053,-0.390625
1054,-0.390625
1055,-0.195313
1056,0.781250
1057,1.171875
1058,0.976563
1059,1.367188
1060,1.367188
1061,0.195313
1062,1.953125
1063,1.757813
1064,2.148438
1065,3.320313
1066,3.710938
1067,3.906250
1068,4.882813
1069,4.296875
1070,4.882813
1071,5.664063
1072,5.078125
1073,5.273438
1074,5.078125
1075,5.664063
1076,6.640625
1077,5.859375
1078,6.445313
1079,7.031250
1080,8.007813
1081,7.617188
1082,7.617188
1083,8.203125
1084,8.203125
1085,8.203125
1086,8.398438
1087,8.593750
1088,8.984375
1089,9.179688
1090,8.593750
1091,9.570313
1092,9.765625
1093,9.179688
1094,9.960938
1095,9.960938
1096,9.960938
1097,9.960938
1098,8.203125
1099,9.960938
1100,9.960938
1101,9.570313
1102,9.570313
1103,10.156250
1104,9.960938
1105,10.156250
1106,10.156250
1107,10.156250
1108,9.570313
1109,9.375000
1110,9.960938
1111,9.765625
1112,9.765625
1113,9.179688
1114,8.984375
1115,8.984375
1116,8.789063
1117,9.179688
1118,9.765625
1119,8.593750
1120,8.593750
1121,8.593750
1122,8.203125
1123,8.398438
1124,7.226563
1125,7.812500
1126,7.031250
1127,7.031250
1128,6.835938
1129,6.445313
1130,6.445313
1131,6.445313
1132,6.640625
1133,5.859375
1134,5.664063
1135,5.859375
1136,5.468750
1137,5.468750
1138,4.882813
1139,4.492188
1140,4.101563
1141,4.492188
1142,4.101563
1143,4.492188
1144,4.687500
1145,5.468750
1146,4.687500
1147,4.492188
1148,3.906250
1149,3.515625
1150,3.515625
1151,3.515625
1152,3.125000
1153,3.125000
1154,3.320313
1155,3.515625
1156,3.125000
1157,3.320313
1158,3.710938
1159,3.515625
1160,3.710938
1161,3.320313
1162,3.710938
1163,3.515625
1164,3.125000
1165,3.515625
1166,4.101563
1167,6.250000
1168,3.710938
1169,3.515625
1170,3.906250
1171,3.906250
1172,4.101563
1173,4.882813
1174,4.296875
1175,5.078125
1176,5.273438
1177,5.078125
1178,5.273438
1179,4.687500
1180,5.078125
1181,5.273438
1182,5.273438
1183,5.859375
1184,6.054688
1185,6.445313
1186,6.250000
1187,7.617188
1188,7.031250
1189,6.054688
1190,6.640625
1191,6.640625
1192,6.250000
1193,6.640625
1194,6.835938
1195,7.226563
1196,7.226563
1197,7.617188
1198,7.226563
1199,7.031250
1200,7.226563
1201,6.835938
1202,7.226563
1203,7.421875
1204,7.226563
1205,7.226563
1206,7.031250
1207,7.226563
1208,5.078125
1209,7.617188
1210,7.812500
1211,7.421875
1212,7.031250
1213,6.835938
1214,6.835938
1215,6.445313
1216,6.250000
1217,9.179688
1218,6.054688
1219,7.226563
1220,5.859375
1221,5.664063
1222,5.664063
1223,5.468750
1224,4.882813
1225,5.273438
1226,5.664063
1227,4.296875
1228,4.296875
1229,3.906250
1230,4.101563
1231,3.515625
1232,3.515625
1233,4.296875
1234,3.515625
1235,3.320313
1236,3.906250
1237,2.734375
1238,2.734375
1239,2.734375
1240,1.757813
1241,1.757813
1242,1.367188
1243,0.781250
1244,0.781250
1245,-0.390625
1246,0.781250
1247,-0.195313
1248,-0.390625
1249,-0.585938
1250,-0.585938
1251,-1.171875
1252,-1.367188
1253,-1.562500
1254,-2.343750
1255,-2.929688
1256,-2.539063
1257,-3.320313
1258,-3.710938
1259,-3.515625
1260,-3.515625
1261,-3.906250
1262,-4.101563
1263,-3.710938
1264,-4.101563
1265,-4.492188
1266,-4.687500
1267,-4.882813
1268,-5.078125
1269,-5.273438
1270,-5.078125
1271,-4.687500
1272,-5.078125
1273,-3.515625
1274,-4.882813
1275,-4.687500
1276,-4.882813
1277,-5.078125
1278,-5.273438
1279,-5.468750
1280,-6.054688
1281,-5.273438
1282,-5.664063
1283,-5.468750
1284,-5.664063
1285,-4.492188
1286,-4.687500
1287,-4.492188
1288,-4.882813
1289,-4.101563
1290,-4.882813
1291,-4.101563
1292,-4.101563
1293,-3.906250
1294,-3.906250
1295,-3.710938
1296,-2.929688
1297,-3.515625
1298,-2.929688
1299,-2.734375
1300,-3.125000
1301,-2.734375
1302,-2.539063
1303,-2.343750
1304,-1.953125
1305,-1.953125
1306,-1.953125
1307,-1.562500
1308,-1.171875
1309,-0.976563
1310,-1.757813
1311,-1.171875
1312,-0.390625
1313,-1.367188
1314,-0.390625
1315,-0.195313
1316,0.000000
1317,0.390625
1318,-0.585938
1319,-0.195313
1320,0.195313
1321,0.585938
1322,0.000000
1323,0.781250
1324,0.390625
1325,-0.390625
1326,2.343750
1327,1.171875
1328,0.585938
1329,0.976563
1330,1.367188
1331,1.171875
1332,1.171875
1333,1.367188
1334,0.976563
1335,1.367188
1336,1.757813
1337,0.976563
1338,1.367188
1339,1.367188
1340,1.953125
1341,1.562500
1342,1.562500
1343,1.562500
1344,1.171875
1345,1.562500
1346,1.171875
1347,0.585938
1348,1.171875
1349,0.390625
1350,0.976563
1351,0.976563
1352,0.781250
1353,0.976563
1354,0.195313
1355,0.390625
1356,0.195313
1357,-0.390625
1358,-0.390625
1359,-0.781250
1360,-0.781250
1361,-0.976563
1362,-0.781250
1363,-1.171875
1364,-0.976563
1365,-0.976563
1366,-1.171875
1367,-1.367188
1368,-1.953125
1369,-1.562500
1370,-2.148438
1371,-2.539063
1372,-0.781250
1373,-2.929688
1374,-1.171875
1375,-2.539063
1376,-2.929688
1377,-2.734375
1378,-2.539063
1379,-2.734375
1380,-2.734375
1381,-3.515625
1382,-3.125000
1383,-3.515625
1384,-3.320313
1385,-3.515625
1386,-3.515625
1387,-3.906250
1388,-2.929688
1389,-2.929688
1390,-2.929688
1391,-2.929688
1392,-2.343750
1393,-2.343750
1394,-2.148438
1395,-1.953125
1396,-2.148438
1397,-1.757813
1398,-2.343750
1399,-1.953125
1400,-1.757813
1401,-0.781250
1402,-0.976563
1403,-0.390625
1404,-0.195313
1405,0.195313
1406,0.195313
1407,0.585938
1408,0.781250
1409,0.976563
1410,1.171875
1411,1.757813
1412,1.953125
1413,1.953125
1414,3.125000
1415,2.929688
1416,3.710938
1417,3.906250
1418,4.296875
1419,5.078125
1420,4.882813
1421,4.882813
1422,5.273438
1423,5.859375
1424,5.664063
1425,6.054688
1426,6.054688
1427,6.835938
1428,7.031250
1429,7.617188
1430,7.617188
1431,8.203125
1432,8.007813
1433,8.789063
1434,8.398438
1435,8.984375
1436,8.203125
1437,8.984375
1438,8.789063
1439,9.765625
1440,9.570313
1441,9.570313
1442,9.960938
1443,9.960938
1444,9.960938
1445,10.156250
1446,9.960938
1447,10.156250
1448,9.960938
1449,10.546875
1450,10.351563
1451,10.351563
1452,10.156250
1453,9.570313
1454,10.156250
1455,10.156250
1456,10.156250
1457,9.960938
1458,10.156250
1459,10.351563
1460,9.570313
1461,9.960938
1462,9.375000
1463,9.375000
1464,9.375000
1465,9.179688
1466,9.375000
1467,9.179688
1468,8.789063
1469,8.203125
1470,8.593750
1471,8.203125
1472,7.812500
1473,8.007813
1474,8.203125
1475,7.031250
1476,7.812500
1477,7.421875
1478,6.640625
1479,6.835938
1480,6.445313
1481,6.250000
1482,6.640625
1483,6.250000
1484,6.445313
1485,5.273438
1486,5.273438
1487,5.078125
1488,5.273438
1489,4.687500
1490,3.515625
1491,4.296875
1492,4.687500
1493,4.882813
1494,4.296875
1495,4.296875
1496,3.906250
1497,3.710938
1498,3.710938
1499,3.515625
1500,3.515625
1501,3.320313
1502,2.929688
1503,3.125000
1504,3.125000
1505,2.734375
1506,3.320313
1507,3.710938
1508,3.906250
1509,3.906250
1510,4.687500
1511,2.929688
1512,3.320313
1513,2.929688
1514,3.125000
1515,3.125000
1516,3.320313
1517,3.710938
1518,3.320313
1519,4.101563
1520,3.710938
1521,4.101563
1522,4.882813
1523,4.882813
1524,5.273438
1525,5.273438
1526,4.882813
1527,4.882813
1528,5.273438
1529,5.664063
1530,5.468750
1531,5.664063
1532,5.859375
1533,6.445313
1534,5.859375
1535,6.250000
1536,6.640625
1537,5.859375
1538,6.445313
1539,6.640625
1540,6.835938
1541,6.835938
1542,7.031250
1543,7.226563
1544,6.054688
1545,7.031250
1546,7.812500
1547,7.617188
1548,7.421875
1549,8.007813
1550,7.421875
1551,7.617188
1552,7.226563
1553,7.421875
1554,7.031250
1555,7.617188
1556,7.421875
1557,7.031250
1558,7.226563
1559,7.226563
1560,7.421875
1561,7.226563
1562,7.226563
1563,7.226563
1564,6.835938
1565,6.835938
1566,6.250000
1567,6.054688
1568,6.250000
1569,6.445313
1570,5.468750
1571,6.054688
1572,6.250000
1573,5.273438
1574,5.468750
1575,5.273438
1576,5.664063
1577,4.296875
1578,4.687500
1579,4.101563
1580,3.515625
1581,4.296875
1582,3.710938
1583,3.515625
1584,3.710938
1585,2.929688
1586,2.343750
1587,2.539063
1588,2.734375
1589,2.343750
1590,0.976563
1591,1.171875
1592,0.976563
1593,0.585938
1594,0.585938
1595,-0.195313
1596,0.195313
1597,-0.585938
1598,-0.195313
1599,-1.367188
1600,-0.976563
1601,-1.562500
1602,-1.562500
1603,-1.367188
1604,-2.343750
1605,-2.734375
1606,-3.125000
1607,-2.734375
1608,-3.320313
1609,-3.125000
1610,-3.320313
1611,-3.515625
1612,-3.710938
1613,-3.710938
1614,-4.296875
1615,-4.882813
1616,-4.492188
1617,-4.882813
1618,-4.882813
1619,-5.273438
1620,-4.492188
1621,-5.078125
1622,-4.296875
1623,-5.078125
1624,-4.492188
1625,-4.882813
1626,-5.468750
1627,-4.882813
1628,-5.859375
1629,-4.882813
1630,-5.078125
1631,-5.078125
1632,-5.078125
