Channel              :,CH1
Frequency            :,857.1Hz
Period               :,1.167ms
PK-PK                :,72.27mV
Probe attenuation    :,1X
Voltage per ADC value:,0.122070mV
Time interval        :,2.00000us

index,CH1_Voltage(mV)
120,-27.343750
121,-25.390625
122,-27.343750
123,-27.343750
124,-27.343750
125,-27.343750
126,-29.296875
127,-27.343750
128,-29.296875
129,-29.296875
130,-29.296875
131,-29.296875
132,-31.250000
133,-31.250000
134,-31.250000
135,-31.250000
136,-33.203125
137,-33.203125
138,-33.203125
139,-33.203125
140,-33.203125
141,-33.203125
142,-33.203125
143,-33.203125
144,-35.156250
145,-35.156250
146,-35.156250
147,-35.156250
148,-35.156250
149,-35.156250
150,-35.156250
151,-37.109375
152,-37.109375
153,-37.109375
154,-37.109375
155,-37.109375
156,-37.109375
157,-39.062500
158,-37.109375
159,-37.109375
160,-39.062500
161,-39.062500
162,-39.062500
163,-39.062500
164,-39.062500
165,-39.062500
166,-39.062500
167,-39.062500
168,-39.062500
169,-41.015625
170,-41.015625
171,-41.015625
172,-41.015625
173,-41.015625
174,-41.015625
175,-41.015625
176,-41.015625
177,-41.015625
178,-41.015625
179,-41.015625
180,-41.015625
181,-42.968750
182,-42.968750
183,-42.968750
184,-42.968750
185,-42.968750
186,-42.968750
187,-42.968750
188,-42.968750
189,-42.968750
190,-42.968750
191,-42.968750
192,-44.921875
193,-42.968750
194,-42.968750
195,-44.921875
196,-42.968750
197,-42.968750
198,-42.968750
199,-44.921875
200,-44.921875
201,-44.921875
202,-44.921875
203,-44.921875
204,-44.921875
205,-44.921875
206,-44.921875
207,-44.921875
208,-44.921875
209,-42.968750
210,-44.921875
211,-44.921875
212,-44.921875
213,-44.921875
214,-44.921875
215,-44.921875
216,-44.921875
217,-44.921875
218,-44.921875
219,-44.921875
220,-44.921875
221,-44.921875
222,-44.921875
223,-44.921875
224,-44.921875
225,-44.921875
226,-46.875000
227,-44.921875
228,-44.921875
229,-44.921875
230,-44.921875
231,-44.921875
232,-44.921875
233,-44.921875
234,-44.921875
235,-44.921875
236,-44.921875
237,-44.921875
238,-42.968750
239,-44.921875
240,-44.921875
241,-44.921875
242,-44.921875
243,-42.968750
244,-42.968750
245,-42.968750
246,-42.968750
247,-42.968750
248,-42.968750
249,-42.968750
250,-42.968750
251,-42.968750
252,-42.968750
253,-42.968750
254,-41.015625
255,-42.968750
256,-42.968750
257,-42.968750
258,-41.015625
259,-41.015625
260,-41.015625
261,-42.968750
262,-41.015625
263,-41.015625
264,-41.015625
265,-41.015625
266,-41.015625
267,-41.015625
268,-41.015625
269,-39.062500
270,-39.062500
271,-39.062500
272,-39.062500
273,-39.062500
274,-39.062500
275,-39.062500
276,-39.062500
277,-37.109375
278,-37.109375
279,-37.109375
280,-37.109375
281,-37.109375
282,-35.156250
283,-35.156250
284,-35.156250
285,-35.156250
286,-35.156250
287,-35.156250
288,-33.203125
289,-33.203125
290,-33.203125
291,-33.203125
292,-33.203125
293,-33.203125
294,-33.203125
295,-31.250000
296,-31.250000
297,-33.203125
298,-31.250000
299,-31.250000
300,-29.296875
301,-29.296875
302,-29.296875
303,-29.296875
304,-29.296875
305,-29.296875
306,-27.343750
307,-27.343750
308,-27.343750
309,-27.343750
310,-27.343750
311,-27.343750
312,-25.390625
313,-25.390625
314,-25.390625
315,-25.390625
316,-25.390625
317,-23.437500
318,-23.437500
319,-23.437500
320,-23.437500
321,-23.437500
322,-21.484375
323,-21.484375
324,-21.484375
325,-21.484375
326,-19.531250
327,-19.531250
328,-19.531250
329,-19.531250
330,-19.531250
331,-19.531250
332,-17.578125
333,-17.578125
334,-17.578125
335,-17.578125
336,-15.625000
337,-15.625000
