0.07	5	-183.4	0.005	0.5	2
0.13	5	-124.1	0.005	0.5	2
0.15	5	-124.3	0.005	0.5	2
0.16	5	-124.3	0.005	0.5	2
0.17	5	-124.1	0.005	0.5	2
0.19	5	-127.7	0.005	0.5	2
0.25	5	-122	0.005	0.5	2
0.28	5	-120	0.005	0.5	2
0.32	5	-123.5	0.005	0.5	2
0.38	5	-134.2	0.005	0.5	2
0.41	5	-134.7	0.005	0.5	2
0.47	5	-133.6	0.005	0.5	2
0.51	5	-136.7	0.005	0.5	2
0.52	5	-136.2	0.005	0.5	2
0.56	6	-135.4	0.005	0.5	2
0.61	6	-122.4	0.005	0.5	2
0.63	6	-120	0.005	0.5	2
0.67	6	-122.4	0.005	0.5	2
0.68	6	-122.6	0.005	0.5	2
0.69	6	-123.3	0.005	0.5	2
0.72	6	-124.4	0.005	0.5	2
0.78	6	-126.8	0.005	0.5	2
0.87	6	-128.5	0.005	0.5	2
1	8	-130.4	0.005	0.5	2
1.12	8	-131.3	0.005	0.5	2
1.22	8	-133.6	0.005	0.5	2
1.31	10	-136.9	0.005	0.5	3
1.42	12	-136.6	0.005	0.5	3
1.5	14	-138.1	0.005	0.5	3
1.63	20	-140	0.02	1	3
1.75	40	-134.1	0.01	1	3
1.78	66	-53	0.1	15	10
1.93	49	2.8	0.01	1	1.5
1.99	24	17	0.01	0.5	3
2.06	16	20	0.01	0.5	2
2.1	12	21.2	0.02	0.5	2
2.16	10	24	0.01	0.5	3
2.22	8	25	0.01	0.5	1
2.26	7	26.5	0.01	0.5	2
2.33	6	27.4	0.03	0.5	3
2.42	5	37.5	0.03	0.5	3
2.46	4	30.1	0.02	0.5	2
2.49	4	30.4	0.03	0.5	2
