theta,I_P,I_O
0,60.22,46.22
10,59.81,45.55
20,58.04,43.72
30,58.14,43.56
40,58.23,43.37
50,58.92,44.18
60,60.83,45.81
70,62.47,47.46
80,63.26,48.19
90,63.78,48.32
