theta,I_P,I_O
0,67.84,52.34
10,59.81,45.55
20,58.04,43.72
30,58.14,43.56
40,58.23,43.37
50,58.92,44.18
60,60.83,45.81
70,62.47,47.46
80,63.26,48.19
90,63.78,48.32
90,64.81,49.32
100,63.04,47.52
110,60.42,44.84
120,59.25,43.73
130,62.13,46.83
140,63.84,47.44
150,64.77,49.39
160,68.56,53.18
170,68.96,53.74
180,68.08,52.63
200,66.58,51.25
220,61.33,46.35
240,62.29,47.44
260,63.62,49.07
280,57.64,43.32
300,57.59,43.12
320,58.37,43.48
