theta,I_P,I_O
0,,0.026
10,,0.026
20,,0.026
30,,0.026
40,,0.025
50,,0.021
60,,0.018
70,,0.016
80,,0.014
90,,0.012
100,,0.012
110,,0.011
120,,0.014
130,,0.014
140,,0.015
150,,0.017
160,,0.018
170,,0.021
180,,0.021
190,,0.024
200,,0.026
210,,0.026
220,,0.029
230,,0.031
240,,0.031
250,,0.031
260,,0.031
270,,0.031
280,,0.036
290,,0.033
300,,0.033
310,,0.033
320,,0.033
330,,0.033
340,,0.031
350,,0.031
360,,0.031
